tipo_duplicado,lon,lat,n
redondeado_6_decimales,-89.191141,15.984897,19
redondeado_6_decimales,-89.191042,15.975863,19
redondeado_6_decimales,-89.190944,15.966829,19
redondeado_6_decimales,-89.190846,15.957796,19
redondeado_6_decimales,-89.190748,15.948762,19
redondeado_6_decimales,-89.190649,15.939728,19
redondeado_6_decimales,-89.190551,15.930694,19
redondeado_6_decimales,-89.190453,15.92166,19
redondeado_6_decimales,-89.190355,15.912626,19
redondeado_6_decimales,-89.190258,15.903593,19
redondeado_6_decimales,-89.187387,16.490874,19
redondeado_6_decimales,-89.187286,16.48184,19
redondeado_6_decimales,-89.187184,16.472807,19
redondeado_6_decimales,-89.187083,16.463773,19
redondeado_6_decimales,-89.186982,16.45474,19
redondeado_6_decimales,-89.186881,16.445707,19
redondeado_6_decimales,-89.186779,16.436673,19
redondeado_6_decimales,-89.186678,16.42764,19
redondeado_6_decimales,-89.186577,16.418606,19
redondeado_6_decimales,-89.186476,16.409573,19
redondeado_6_decimales,-89.186375,16.40054,19
redondeado_6_decimales,-89.186275,16.391506,19
redondeado_6_decimales,-89.186174,16.382473,19
redondeado_6_decimales,-89.186073,16.373439,19
redondeado_6_decimales,-89.185972,16.364406,19
redondeado_6_decimales,-89.185872,16.355372,19
redondeado_6_decimales,-89.185771,16.346339,19
redondeado_6_decimales,-89.185671,16.337305,19
redondeado_6_decimales,-89.18557,16.328272,19
redondeado_6_decimales,-89.18547,16.319238,19
redondeado_6_decimales,-89.18537,16.310205,19
redondeado_6_decimales,-89.18527,16.301171,19
redondeado_6_decimales,-89.185169,16.292137,19
redondeado_6_decimales,-89.185069,16.283104,19
redondeado_6_decimales,-89.184969,16.27407,19
redondeado_6_decimales,-89.184869,16.265037,19
redondeado_6_decimales,-89.184769,16.256003,19
redondeado_6_decimales,-89.18467,16.24697,19
redondeado_6_decimales,-89.18457,16.237936,19
redondeado_6_decimales,-89.18447,16.228902,19
redondeado_6_decimales,-89.18437,16.219869,19
redondeado_6_decimales,-89.184271,16.210835,19
redondeado_6_decimales,-89.184171,16.201802,19
redondeado_6_decimales,-89.184072,16.192768,19
redondeado_6_decimales,-89.183972,16.183734,19
redondeado_6_decimales,-89.183873,16.174701,19
redondeado_6_decimales,-89.183774,16.165667,19
redondeado_6_decimales,-89.183675,16.156633,19
redondeado_6_decimales,-89.183575,16.1476,19
redondeado_6_decimales,-89.183476,16.138566,19
redondeado_6_decimales,-89.183377,16.129532,19
redondeado_6_decimales,-89.183278,16.120498,19
redondeado_6_decimales,-89.18318,16.111465,19
redondeado_6_decimales,-89.183081,16.102431,19
redondeado_6_decimales,-89.182982,16.093397,19
redondeado_6_decimales,-89.182883,16.084364,19
redondeado_6_decimales,-89.182785,16.07533,19
redondeado_6_decimales,-89.182686,16.066296,19
redondeado_6_decimales,-89.182587,16.057262,19
redondeado_6_decimales,-89.182489,16.048229,19
redondeado_6_decimales,-89.182391,16.039195,19
redondeado_6_decimales,-89.182292,16.030161,19
redondeado_6_decimales,-89.182194,16.021127,19
redondeado_6_decimales,-89.182096,16.012093,19
redondeado_6_decimales,-89.181998,16.00306,19
redondeado_6_decimales,-89.1819,15.994026,19
redondeado_6_decimales,-89.181802,15.984992,19
redondeado_6_decimales,-89.181704,15.975958,19
redondeado_6_decimales,-89.181606,15.966924,19
redondeado_6_decimales,-89.181508,15.95789,19
redondeado_6_decimales,-89.18141,15.948857,19
redondeado_6_decimales,-89.181312,15.939823,19
redondeado_6_decimales,-89.181215,15.930789,19
redondeado_6_decimales,-89.181117,15.921755,19
redondeado_6_decimales,-89.18102,15.912721,19
redondeado_6_decimales,-89.179446,16.617439,19
redondeado_6_decimales,-89.179344,16.608405,19
redondeado_6_decimales,-89.179242,16.599372,19
redondeado_6_decimales,-89.17914,16.590339,19
redondeado_6_decimales,-89.179038,16.581305,19
redondeado_6_decimales,-89.178937,16.572272,19
redondeado_6_decimales,-89.178835,16.563239,19
redondeado_6_decimales,-89.178734,16.554205,19
redondeado_6_decimales,-89.178632,16.545172,19
redondeado_6_decimales,-89.178531,16.536138,19
redondeado_6_decimales,-89.178429,16.527105,19
redondeado_6_decimales,-89.178328,16.518072,19
redondeado_6_decimales,-89.178227,16.509038,19
redondeado_6_decimales,-89.178126,16.500005,19
redondeado_6_decimales,-89.178024,16.490971,19
redondeado_6_decimales,-89.177923,16.481938,19
redondeado_6_decimales,-89.177822,16.472905,19
redondeado_6_decimales,-89.177722,16.463871,19
redondeado_6_decimales,-89.177621,16.454838,19
redondeado_6_decimales,-89.17752,16.445804,19
redondeado_6_decimales,-89.177419,16.436771,19
redondeado_6_decimales,-89.177318,16.427737,19
redondeado_6_decimales,-89.177218,16.418704,19
redondeado_6_decimales,-89.177117,16.40967,19
redondeado_6_decimales,-89.177017,16.400637,19
redondeado_6_decimales,-89.176916,16.391603,19
redondeado_6_decimales,-89.176816,16.38257,19
redondeado_6_decimales,-89.176716,16.373536,19
redondeado_6_decimales,-89.176615,16.364503,19
redondeado_6_decimales,-89.176515,16.355469,19
redondeado_6_decimales,-89.176415,16.346435,19
redondeado_6_decimales,-89.176315,16.337402,19
redondeado_6_decimales,-89.176215,16.328368,19
redondeado_6_decimales,-89.176115,16.319335,19
redondeado_6_decimales,-89.176015,16.310301,19
redondeado_6_decimales,-89.175916,16.301268,19
redondeado_6_decimales,-89.175816,16.292234,19
redondeado_6_decimales,-89.175716,16.2832,19
redondeado_6_decimales,-89.175617,16.274167,19
redondeado_6_decimales,-89.175517,16.265133,19
redondeado_6_decimales,-89.175418,16.256099,19
redondeado_6_decimales,-89.175318,16.247066,19
redondeado_6_decimales,-89.175219,16.238032,19
redondeado_6_decimales,-89.17512,16.228999,19
redondeado_6_decimales,-89.17502,16.219965,19
redondeado_6_decimales,-89.174921,16.210931,19
redondeado_6_decimales,-89.174822,16.201897,19
redondeado_6_decimales,-89.174723,16.192864,19
redondeado_6_decimales,-89.174624,16.18383,19
redondeado_6_decimales,-89.174525,16.174796,19
redondeado_6_decimales,-89.174426,16.165763,19
redondeado_6_decimales,-89.174328,16.156729,19
redondeado_6_decimales,-89.174229,16.147695,19
redondeado_6_decimales,-89.17413,16.138661,19
redondeado_6_decimales,-89.174032,16.129628,19
redondeado_6_decimales,-89.173933,16.120594,19
redondeado_6_decimales,-89.173835,16.11156,19
redondeado_6_decimales,-89.173736,16.102526,19
redondeado_6_decimales,-89.173638,16.093493,19
redondeado_6_decimales,-89.17354,16.084459,19
redondeado_6_decimales,-89.173441,16.075425,19
redondeado_6_decimales,-89.173343,16.066391,19
redondeado_6_decimales,-89.173245,16.057357,19
redondeado_6_decimales,-89.173147,16.048323,19
redondeado_6_decimales,-89.173049,16.03929,19
redondeado_6_decimales,-89.172951,16.030256,19
redondeado_6_decimales,-89.172853,16.021222,19
redondeado_6_decimales,-89.172756,16.012188,19
redondeado_6_decimales,-89.172658,16.003154,19
redondeado_6_decimales,-89.17256,15.99412,19
redondeado_6_decimales,-89.172463,15.985086,19
redondeado_6_decimales,-89.172365,15.976053,19
redondeado_6_decimales,-89.172268,15.967019,19
redondeado_6_decimales,-89.17217,15.957985,19
redondeado_6_decimales,-89.172073,15.948951,19
redondeado_6_decimales,-89.171976,15.939917,19
redondeado_6_decimales,-89.171878,15.930883,19
redondeado_6_decimales,-89.171781,15.921849,19
redondeado_6_decimales,-89.171684,15.912815,19
redondeado_6_decimales,-89.171402,16.73497,19
redondeado_6_decimales,-89.1713,16.725936,19
redondeado_6_decimales,-89.171197,16.716903,19
redondeado_6_decimales,-89.171095,16.70787,19
redondeado_6_decimales,-89.170993,16.698837,19
redondeado_6_decimales,-89.170891,16.689803,19
redondeado_6_decimales,-89.170789,16.68077,19
redondeado_6_decimales,-89.170687,16.671737,19
redondeado_6_decimales,-89.170585,16.662703,19
redondeado_6_decimales,-89.170483,16.65367,19
redondeado_6_decimales,-89.170382,16.644637,19
redondeado_6_decimales,-89.17028,16.635603,19
redondeado_6_decimales,-89.170178,16.62657,19
redondeado_6_decimales,-89.170077,16.617537,19
redondeado_6_decimales,-89.169975,16.608503,19
redondeado_6_decimales,-89.169874,16.59947,19
redondeado_6_decimales,-89.169772,16.590436,19
redondeado_6_decimales,-89.169671,16.581403,19
redondeado_6_decimales,-89.16957,16.57237,19
redondeado_6_decimales,-89.169469,16.563336,19
redondeado_6_decimales,-89.169368,16.554303,19
redondeado_6_decimales,-89.169267,16.545269,19
redondeado_6_decimales,-89.169166,16.536236,19
redondeado_6_decimales,-89.169065,16.527203,19
redondeado_6_decimales,-89.168964,16.518169,19
redondeado_6_decimales,-89.168863,16.509136,19
redondeado_6_decimales,-89.168762,16.500102,19
redondeado_6_decimales,-89.168661,16.491069,19
redondeado_6_decimales,-89.168561,16.482035,19
redondeado_6_decimales,-89.16846,16.473002,19
redondeado_6_decimales,-89.16836,16.463968,19
redondeado_6_decimales,-89.168259,16.454935,19
redondeado_6_decimales,-89.168159,16.445901,19
redondeado_6_decimales,-89.168059,16.436868,19
redondeado_6_decimales,-89.167958,16.427834,19
redondeado_6_decimales,-89.167858,16.418801,19
redondeado_6_decimales,-89.167758,16.409767,19
redondeado_6_decimales,-89.167658,16.400733,19
redondeado_6_decimales,-89.167558,16.3917,19
redondeado_6_decimales,-89.167458,16.382666,19
