xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000472375,-89.16676099999998,16.319431,19,1,1,19,1,1,2000,2018,Belice,88.1381558273205,88.1381558273205,88.1381558273205,multitemporal_xy
XY_000000472401,-89.166661,16.310397,19,1,1,19,1,1,2000,2018,Belice,92.40524400903674,92.40524400903674,92.40524400903674,multitemporal_xy
XY_000000472432,-89.166562,16.301364,19,1,1,19,1,1,2000,2018,Belice,88.31002000281748,88.31002000281748,88.31002000281748,multitemporal_xy
XY_000000472469,-89.16646199999998,16.29233,19,1,1,19,1,1,2000,2018,Belice,94.36841317393302,94.36841317393302,94.36841317393302,multitemporal_xy
XY_000000472495,-89.166363,16.283296,19,1,1,19,1,1,2000,2018,Belice,86.57718042567309,86.57718042567309,86.57718042567309,multitemporal_xy
XY_000000472566,-89.166165,16.265229,19,1,1,19,1,1,2000,2018,Belice,86.55220621954284,86.55220621954284,86.55220621954284,multitemporal_xy
XY_000000472669,-89.165868,16.238128,19,1,1,19,1,1,2000,2018,Belice,50.184591067588826,50.184591067588826,50.184591067588826,multitemporal_xy
XY_000000472745,-89.16567,16.22006,19,1,1,19,1,1,2000,2018,Belice,94.75642761373877,94.75642761373877,94.75642761373877,multitemporal_xy
XY_000000472778,-89.16557199999998,16.211027,19,1,1,19,1,1,2000,2018,Belice,80.30857756656384,80.30857756656384,80.30857756656384,multitemporal_xy
XY_000000472822,-89.165473,16.201993,19,1,1,19,1,1,2000,2018,Belice,82.60816253174677,82.60816253174677,82.60816253174677,multitemporal_xy
XY_000000472849,-89.165374,16.192959,19,1,1,19,1,1,2000,2018,Belice,83.72917737788039,83.72917737788039,83.72917737788039,multitemporal_xy
XY_000000472879,-89.165276,16.183925,19,1,1,19,1,1,2000,2018,Belice,93.64476535977593,93.64476535977593,93.64476535977593,multitemporal_xy
XY_000000472918,-89.165177,16.174892,19,1,1,19,1,1,2000,2018,Belice,90.90561092411596,90.90561092411596,90.90561092411596,multitemporal_xy
XY_000000472952,-89.165079,16.165858,19,1,1,19,1,1,2000,2018,Belice,92.4198065484828,92.4198065484828,92.4198065484828,multitemporal_xy
XY_000000473024,-89.164882,16.14779,19,1,1,19,1,1,2000,2018,Belice,86.72240132771108,86.72240132771108,86.72240132771108,multitemporal_xy
XY_000000473055,-89.16478399999998,16.138757,19,1,1,19,1,1,2000,2018,Belice,63.278902524832155,63.278902524832155,63.278902524832155,multitemporal_xy
XY_000000473194,-89.164392,16.102621,19,1,1,19,1,1,2000,2018,Belice,94.09986379058051,94.09986379058051,94.09986379058051,multitemporal_xy
XY_000000473222,-89.164294,16.093587,19,1,1,19,1,1,2000,2018,Belice,87.08561515132797,87.08561515132797,87.08561515132797,multitemporal_xy
XY_000000473258,-89.164196,16.084554,19,1,1,19,1,1,2000,2018,Belice,84.62458239308,84.62458239308,84.62458239308,multitemporal_xy
XY_000000473288,-89.16409799999998,16.07552,19,1,1,19,1,1,2000,2018,Belice,95.25899806899216,95.25899806899216,95.25899806899216,multitemporal_xy
XY_000000473367,-89.163903,16.057452,19,1,1,19,1,1,2000,2018,Belice,59.1753055012846,59.1753055012846,59.1753055012846,multitemporal_xy
XY_000000473398,-89.16380499999998,16.048418,19,1,1,19,1,1,2000,2018,Belice,88.58062777065777,88.58062777065777,88.58062777065777,multitemporal_xy
