subset,nivel,fuente,clase,n_registros,pct_fuente_subset
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,42 Bosque de coníferas,158,0.240151
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",938,41.376268
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,31 Cultivos intensivos No-Arbóreos,386,17.026908
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,41 Bosque latifoliado y mixto,307,13.542126
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,32 Cultivos Arbóreos,229,10.101456
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,12 Otras tierras,156,6.881341
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,11 Urbano,75,3.308337
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,22 Humedales,67,2.955448
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,43 Manglares,59,2.602558
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,21 Cuerpos de Agua,31,1.367446
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,44 Otros arbóreo en tierras no agrícola,14,0.617556
ventana_2018_2022,Nivel_1,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,42 Bosque de coníferas,5,0.220556
ventana_2018_2022,Nivel_1,CENAT/PRIAS - Cultivos - Costa Rica,31 Cultivos intensivos No-Arbóreos,22224,100.0
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Campeche, México",41 Bosque latifoliado y mixto,343,76.733781
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Campeche, México","33 Cultivos extensivos, Pastizales y matorrales",80,17.897092
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Campeche, México",31 Cultivos intensivos No-Arbóreos,20,4.474273
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Campeche, México",43 Manglares,4,0.894855
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Chiapas, , México",41 Bosque latifoliado y mixto,239,47.140039
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Chiapas, , México","33 Cultivos extensivos, Pastizales y matorrales",203,40.039448
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Chiapas, , México",42 Bosque de coníferas,44,8.678501
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Chiapas, , México",31 Cultivos intensivos No-Arbóreos,17,3.353057
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Chiapas, , México",22 Humedales,4,0.788955
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",41 Bosque latifoliado y mixto,572,80.56338
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México","33 Cultivos extensivos, Pastizales y matorrales",92,12.957746
