row_hash,n,tipo_revision
196215970273487527,2,hash_atributos_sin_geometria
18117249490794890380,2,hash_atributos_sin_geometria
3918404249402426879,2,hash_atributos_sin_geometria
5527412904065752808,2,hash_atributos_sin_geometria
9192556920550806110,2,hash_atributos_sin_geometria
17196382312094085363,2,hash_atributos_sin_geometria
2668436010427371422,2,hash_atributos_sin_geometria
1722911419956950364,2,hash_atributos_sin_geometria
3616881024018887825,2,hash_atributos_sin_geometria
4082637107917876053,2,hash_atributos_sin_geometria
6428952355004553986,2,hash_atributos_sin_geometria
13855180186844351749,2,hash_atributos_sin_geometria
10852718614302283065,2,hash_atributos_sin_geometria
15700063320339935714,2,hash_atributos_sin_geometria
11215480520530719324,2,hash_atributos_sin_geometria
4698554586234604370,2,hash_atributos_sin_geometria
3425470259692060777,2,hash_atributos_sin_geometria
7919726215560647664,2,hash_atributos_sin_geometria
13458209798055945274,2,hash_atributos_sin_geometria
12679820502495274244,2,hash_atributos_sin_geometria
16575880521969379901,2,hash_atributos_sin_geometria
12470314626970753676,2,hash_atributos_sin_geometria
9270812760439618647,2,hash_atributos_sin_geometria
11029991761399403875,2,hash_atributos_sin_geometria
16745795746995141504,2,hash_atributos_sin_geometria
12272803087544105028,2,hash_atributos_sin_geometria
2882366249001053360,2,hash_atributos_sin_geometria
10546551990204320833,2,hash_atributos_sin_geometria
7963048677672113981,2,hash_atributos_sin_geometria
18367078979848518715,2,hash_atributos_sin_geometria
1193265800045802927,2,hash_atributos_sin_geometria
14376092596067734114,2,hash_atributos_sin_geometria
2334586195178686818,2,hash_atributos_sin_geometria
5080569650497975299,2,hash_atributos_sin_geometria
8817101516242147981,2,hash_atributos_sin_geometria
3362868950810944272,2,hash_atributos_sin_geometria
14474020480446525243,2,hash_atributos_sin_geometria
2453536067464503486,2,hash_atributos_sin_geometria
12942370516712742591,2,hash_atributos_sin_geometria
5391905592839523733,2,hash_atributos_sin_geometria
8895449356819820962,2,hash_atributos_sin_geometria
14146459513568522318,2,hash_atributos_sin_geometria
13621086920139993737,2,hash_atributos_sin_geometria
11160483915363458744,2,hash_atributos_sin_geometria
15462921532384789121,2,hash_atributos_sin_geometria
13606396362791691234,2,hash_atributos_sin_geometria
2799923142509597600,2,hash_atributos_sin_geometria
8135544616482857281,2,hash_atributos_sin_geometria
17380838356857203966,2,hash_atributos_sin_geometria
13019758468737123203,2,hash_atributos_sin_geometria
9724181086578465023,2,hash_atributos_sin_geometria
12066901776259749522,2,hash_atributos_sin_geometria
8565680185938419488,2,hash_atributos_sin_geometria
17939867630018057160,2,hash_atributos_sin_geometria
3373216333972453062,2,hash_atributos_sin_geometria
5108669161818856723,2,hash_atributos_sin_geometria
1073589362806639708,2,hash_atributos_sin_geometria
12713565396749690484,2,hash_atributos_sin_geometria
14058676302977596115,2,hash_atributos_sin_geometria
17704988779352486399,2,hash_atributos_sin_geometria
1749311471997707522,2,hash_atributos_sin_geometria
5269280691576073528,2,hash_atributos_sin_geometria
11603264413649749894,2,hash_atributos_sin_geometria
20140022018585458,2,hash_atributos_sin_geometria
8231764523741467273,2,hash_atributos_sin_geometria
4927700024747932615,2,hash_atributos_sin_geometria
7146509761073469651,2,hash_atributos_sin_geometria
6183841828608528328,2,hash_atributos_sin_geometria
9083456504239381578,2,hash_atributos_sin_geometria
11414909838447515430,2,hash_atributos_sin_geometria
10284989472740246345,2,hash_atributos_sin_geometria
17186440436256963786,2,hash_atributos_sin_geometria
12148069287994800562,2,hash_atributos_sin_geometria
3312239428870125600,2,hash_atributos_sin_geometria
10836982623515917826,2,hash_atributos_sin_geometria
4986461486815037638,2,hash_atributos_sin_geometria
13885968884227801528,2,hash_atributos_sin_geometria
11089068131480123592,2,hash_atributos_sin_geometria
7901056018646315486,2,hash_atributos_sin_geometria
615034510434174353,2,hash_atributos_sin_geometria
2845589184601953671,2,hash_atributos_sin_geometria
15466306822228999566,2,hash_atributos_sin_geometria
11474320821507880559,2,hash_atributos_sin_geometria
17766285119367658057,2,hash_atributos_sin_geometria
15983011679982491712,2,hash_atributos_sin_geometria
3063810684164164644,2,hash_atributos_sin_geometria
2714608361011076170,2,hash_atributos_sin_geometria
14960445196056054927,2,hash_atributos_sin_geometria
8218122878979421672,2,hash_atributos_sin_geometria
13415720182660263149,2,hash_atributos_sin_geometria
980820789131729621,2,hash_atributos_sin_geometria
15100776107446370823,2,hash_atributos_sin_geometria
16001086146430818821,2,hash_atributos_sin_geometria
15637295126145351368,2,hash_atributos_sin_geometria
11582728213973900802,2,hash_atributos_sin_geometria
15142503238047955120,2,hash_atributos_sin_geometria
11396937755817936151,2,hash_atributos_sin_geometria
17767072114691065210,2,hash_atributos_sin_geometria
2288778589887897052,2,hash_atributos_sin_geometria
15443402605949270452,2,hash_atributos_sin_geometria
13147705753453585113,2,hash_atributos_sin_geometria
16828610034664791506,2,hash_atributos_sin_geometria
17892574933376438554,2,hash_atributos_sin_geometria
7997475374156148,2,hash_atributos_sin_geometria
6804138529528133280,2,hash_atributos_sin_geometria
5086760865447597711,2,hash_atributos_sin_geometria
7156256540536669404,2,hash_atributos_sin_geometria
17619589686779866827,2,hash_atributos_sin_geometria
13638079661847665383,2,hash_atributos_sin_geometria
10114832995747896758,2,hash_atributos_sin_geometria
16163756307951646734,2,hash_atributos_sin_geometria
14884206801965981358,2,hash_atributos_sin_geometria
13304658529187097003,2,hash_atributos_sin_geometria
7840997337209399731,2,hash_atributos_sin_geometria
441763276101310976,2,hash_atributos_sin_geometria
17394919312448994711,2,hash_atributos_sin_geometria
4143874066863245200,2,hash_atributos_sin_geometria
16919020532085505801,2,hash_atributos_sin_geometria
14211841555530647158,2,hash_atributos_sin_geometria
6928790236659618057,2,hash_atributos_sin_geometria
17997287850585301070,2,hash_atributos_sin_geometria
6801670195017389624,2,hash_atributos_sin_geometria
13278613491054657838,2,hash_atributos_sin_geometria
14661564110185043443,2,hash_atributos_sin_geometria
50880957482975039,2,hash_atributos_sin_geometria
3990169561129240480,2,hash_atributos_sin_geometria
14257543509538140344,2,hash_atributos_sin_geometria
15927251093624680008,2,hash_atributos_sin_geometria
17549554931228887696,2,hash_atributos_sin_geometria
