pais,clase,n_xy,n_registros,score_medio,score_min,estado_score
Belice,311 Palma aceitera,6,12,40.0,40.0,score critico
Guatemala,210 Cuerpos de Agua,15,23,60.656,40.0,score critico
Costa Rica,210 Cuerpos de Agua,5,5,63.656,63.163,score critico
Costa Rica,"122 Suelo desnudo, arena, rocoso, lava, otros",9,9,66.473,64.918,score critico
Costa Rica,412 Latifoliado secundario húmedo,856,856,70.0,70.0,score bajo
Nicaragua,321 Café,1,1,71.377,71.377,score bajo
México,442 Plantaciones forestales,4,4,71.57,71.499,score bajo
Belice,"122 Suelo desnudo, arena, rocoso, lava, otros",21,21,71.991,60.0,score bajo
México,110 Urbano,5,6,72.735,60.0,score bajo
Belice,121 Otros artificializado,51,51,73.013,67.711,score bajo
Costa Rica,110 Urbano,438,438,73.385,60.0,score bajo
Guatemala,"122 Suelo desnudo, arena, rocoso, lava, otros",164,168,74.008,40.0,score bajo
El Salvador,121 Otros artificializado,2780,2780,74.57,70.0,score bajo
Costa Rica,910 Otras,5175,5479,74.57,60.0,score bajo
El Salvador,"122 Suelo desnudo, arena, rocoso, lava, otros",1854,1854,74.609,70.0,score bajo
Honduras,"122 Suelo desnudo, arena, rocoso, lava, otros",94,126,74.628,70.0,score bajo
Honduras,121 Otros artificializado,60,60,74.667,70.0,score bajo
Panamá,910 Otras,2,2,75.0,75.0,score bajo
Panamá,"122 Suelo desnudo, arena, rocoso, lava, otros",4,4,75.0,75.0,score bajo
El Salvador,910 Otras,5,5,75.0,75.0,score bajo
Panamá,121 Otros artificializado,10,10,75.0,75.0,score bajo
Belice,212 Cuerpos de agua artificial,41,41,75.292,70.0,score bajo
Nicaragua,210 Cuerpos de Agua,3,15,76.109,60.0,score bajo
Costa Rica,411 Latifoliado maduro húmedo,548,548,77.56,70.0,score bajo
Guatemala,410 Bosque latifoliado y mixto,521,653,77.936,40.0,score bajo
Honduras,322 Cacao,3,15,78.629,70.0,score bajo
Costa Rica,443  Árboles fuera de bosque y otras áreas naturales,1282,1282,78.755,70.0,score bajo
Belice,443  Árboles fuera de bosque y otras áreas naturales,107,107,79.237,60.0,score bajo
Belice,331 Granos básicos y hortalizas  y otros,148,148,79.423,60.0,score bajo
Belice,110 Urbano,245,245,79.928,70.0,score bajo
Belice,332 Pastizales naturales y cultivados,1363,1365,80.046,40.0,suficiente
México,420 Bosque de coníferas,44,44,80.123,70.0,suficiente
Honduras,315 Otros cultivos intensivos no arbóreos,1050,1144,80.17,40.0,suficiente
Belice,333 Matorrales (barbecho o en descanso),2605,2605,80.388,60.0,suficiente
Belice,315 Otros cultivos intensivos no arbóreos,3577,3577,80.721,60.0,suficiente
Belice,444 Regeneración forestal,542,542,80.886,60.0,suficiente
Guatemala,443  Árboles fuera de bosque y otras áreas naturales,20,20,81.099,73.36,suficiente
Guatemala,420 Bosque de coníferas,5,5,81.189,80.868,suficiente
Guatemala,323 Frutales,12,15,81.576,40.0,suficiente
Guatemala,220 Humedales,84,84,82.489,70.0,suficiente
Honduras,311 Palma aceitera,32719,34275,82.524,56.601,suficiente
Guatemala,442 Plantaciones forestales,1,1,82.624,82.624,suficiente
Belice,210 Cuerpos de Agua,194,194,82.647,60.0,suficiente
Belice,442 Plantaciones forestales,10,10,82.68,70.0,suficiente
Honduras,220 Humedales,474,2370,82.962,58.897,suficiente
Honduras,442 Plantaciones forestales,24,24,83.011,75.107,suficiente
Panamá,323 Frutales,3,3,83.039,80.878,suficiente
