subset,nivel,clase,n_registros,n_paises,n_fuentes,n_anios,anio_min,anio_max,pct_subset,pct_acumulado,balance_flag
exacto_2020,Nivel_2,321 Café,86380,4,2,1,2020,2020,38.309724,38.309724,dominante_extrema
exacto_2020,Nivel_2,313 Caña de azúcar,51753,1,1,1,2020,2020,22.952572,61.262296,territorialmente_limitada
exacto_2020,Nivel_2,311 Palma aceitera,29819,4,2,1,2020,2020,13.224794,74.48709,dominante
exacto_2020,Nivel_2,324 Hule,22488,1,1,1,2020,2020,9.973479,84.460569,territorialmente_limitada
exacto_2020,Nivel_2,312 Bananeras,12273,3,1,1,2020,2020,5.443103,89.903672,dependiente_fuente_unica
exacto_2020,Nivel_2,410 Bosque latifoliado y mixto,4474,1,1,1,2020,2020,1.984229,91.887901,territorialmente_limitada
exacto_2020,Nivel_2,420 Bosque de coníferas,2986,1,1,1,2020,2020,1.324298,93.212199,territorialmente_limitada
exacto_2020,Nivel_2,332 Pastizales naturales y cultivados,2612,2,1,1,2020,2020,1.158428,94.370627,dependiente_fuente_unica
exacto_2020,Nivel_2,333 Matorrales (barbecho o en descanso),2474,1,1,1,2020,2020,1.097225,95.467852,territorialmente_limitada
exacto_2020,Nivel_2,315 Otros cultivos intensivos no arbóreos,2394,2,1,1,2020,2020,1.061744,96.529596,dependiente_fuente_unica
exacto_2020,Nivel_2,314 Piña,2069,1,1,1,2020,2020,0.917606,97.447202,territorialmente_limitada
exacto_2020,Nivel_2,414 Bosque seco o deciduo,1667,2,1,1,2020,2020,0.739318,98.18652,dependiente_fuente_unica
exacto_2020,Nivel_2,331 Granos básicos y hortalizas  y otros,1170,1,1,1,2020,2020,0.518898,98.705418,territorialmente_limitada
exacto_2020,Nivel_2,413 Bosque Mixto (Lat-Coniferas),868,1,1,1,2020,2020,0.38496,99.090378,territorialmente_limitada
exacto_2020,Nivel_2,322 Cacao,561,2,2,1,2020,2020,0.248805,99.339183,representacion_media
exacto_2020,Nivel_2,220 Humedales,474,1,1,1,2020,2020,0.21022,99.549403,territorialmente_limitada
exacto_2020,Nivel_2,325 Otros sistemas agroforestales o silvopastoriles,436,1,1,1,2020,2020,0.193367,99.74277,territorialmente_limitada
exacto_2020,Nivel_2,110 Urbano,271,1,1,1,2020,2020,0.120189,99.862959,territorialmente_limitada
exacto_2020,Nivel_2,210 Cuerpos de Agua,165,2,1,1,2020,2020,0.073178,99.936137,dependiente_fuente_unica
exacto_2020,Nivel_2,430 Manglares,98,2,1,1,2020,2020,0.043463,99.9796,baja
exacto_2020,Nivel_2,323 Frutales,38,1,1,1,2020,2020,0.016853,99.996453,baja
