subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,estado_xy_subset,source_rowid,pais,fuente,anio,nivel_0,nivel_1,nivel_2
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,1972339,Honduras,FCPF - Malla MRV-REDD+ Honduras,2020,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,1972365,Honduras,FCPF - Malla MRV-REDD+ Honduras,2018,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,1972367,Honduras,FCPF - Malla MRV-REDD+ Honduras,2019,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,1972369,Honduras,FCPF - Malla MRV-REDD+ Honduras,2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000000434312,-89.2813103,14.51902078,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,1973431,Honduras,FCPF - Malla MRV-REDD+ Honduras,2022,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",333 Matorrales (barbecho o en descanso)
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,2042462,Honduras,FCPF - Malla MRV-REDD+ Honduras,2020,30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,325 Otros sistemas agroforestales o silvopastoriles
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,2042475,Honduras,FCPF - Malla MRV-REDD+ Honduras,2018,30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,321 Café
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,2042476,Honduras,FCPF - Malla MRV-REDD+ Honduras,2019,30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,325 Otros sistemas agroforestales o silvopastoriles
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,2042477,Honduras,FCPF - Malla MRV-REDD+ Honduras,2021,30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,325 Otros sistemas agroforestales o silvopastoriles
ventana_2018_2022,XY_000000487605,-89.12410513,14.60885231,Honduras,conflicto_tematico_xy,18,5,conflicto_tematico_subset,2042478,Honduras,FCPF - Malla MRV-REDD+ Honduras,2022,30 Tierras de Cultivo y Pastos,32 Cultivos Arbóreos,325 Otros sistemas agroforestales o silvopastoriles
