pais,clase,n_xy,n_registros,n_xy_regional,n_xy_pais_total,pct_clase_en_pais,estado_count,lectura_count,prioridad_count
Nicaragua,31 Cultivos intensivos No-Arbóreos,0,0,329183,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,329183
Belice,32 Cultivos Arbóreos,0,0,271280,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,271280
México,32 Cultivos Arbóreos,0,0,271280,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,271280
Nicaragua,41 Bosque latifoliado y mixto,0,0,242053,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,242053
Nicaragua,11 Urbano,0,0,29318,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,29318
Costa Rica,42 Bosque de coníferas,0,0,13442,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13442
Nicaragua,42 Bosque de coníferas,0,0,13442,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13442
Panamá,42 Bosque de coníferas,0,0,13442,29187,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,13442
Costa Rica,43 Manglares,0,0,11920,133066,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11920
Nicaragua,43 Manglares,0,0,11920,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,11920
Nicaragua,44 Otros arbóreo en tierras no agrícola,0,0,7170,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,7170
Belice,91 Otras,0,0,5182,33319,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Guatemala,91 Otras,0,0,5182,209829,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Honduras,91 Otras,0,0,5182,132683,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
México,91 Otras,0,0,5182,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
Nicaragua,91 Otras,0,0,5182,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5182
El Salvador,22 Humedales,0,0,5162,571610,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5162
México,12 Otras tierras,0,0,5047,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5047
Nicaragua,12 Otras tierras,0,0,5047,7,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,5047
México,21 Cuerpos de Agua,0,0,2491,2149,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,2491
Nicaragua,32 Cultivos Arbóreos,1,1,271280,7,14.286,baja cantidad de puntos critica,baja cantidad de puntos,199
Nicaragua,22 Humedales,1,1,5162,7,14.286,baja cantidad de puntos critica,baja cantidad de puntos,199
Nicaragua,"33 Cultivos extensivos, Pastizales y matorrales",2,6,189602,7,28.571,baja cantidad de puntos critica,baja cantidad de puntos,198
Panamá,91 Otras,2,2,5182,29187,0.007,baja cantidad de puntos critica,baja cantidad de puntos,198
Nicaragua,21 Cuerpos de Agua,3,15,2491,7,42.857,baja cantidad de puntos critica,baja cantidad de puntos,197
México,11 Urbano,5,6,29318,2149,0.233,baja cantidad de puntos critica,baja cantidad de puntos,195
Guatemala,42 Bosque de coníferas,5,5,13442,209829,0.002,baja cantidad de puntos critica,baja cantidad de puntos,195
El Salvador,91 Otras,5,5,5182,571610,0.001,baja cantidad de puntos critica,baja cantidad de puntos,195
Costa Rica,21 Cuerpos de Agua,5,5,2491,133066,0.004,baja cantidad de puntos critica,baja cantidad de puntos,195
México,44 Otros arbóreo en tierras no agrícola,8,8,7170,2149,0.372,baja cantidad de puntos critica,baja cantidad de puntos,192
Costa Rica,12 Otras tierras,9,9,5047,133066,0.007,baja cantidad de puntos critica,baja cantidad de puntos,191
Panamá,32 Cultivos Arbóreos,14,14,271280,29187,0.048,baja cantidad de puntos critica,baja cantidad de puntos,186
