distance_m,n_candidates,n_selected,n_rejected,pct_selected,total_source_area_ha_selected,mean_nearest_neighbor_m,min_nearest_neighbor_m
500,71866,10470,61396,14.568780786463696,112197.66847075924,615.4227110165201,500.0
1000,71866,3921,67945,5.455987532351877,101343.29691396763,1156.5514155191042,1000.0
2000,71866,1290,70576,1.7950073748365012,87202.78379055299,2242.0743844139497,2000.0769599730754
5000,71866,257,71609,0.3576099963821557,61691.11685998002,5490.476769203959,5016.070168044258
