anio,clase,n
2000,41 Bosque latifoliado y mixto,165280
2000,31 Cultivos intensivos No-Arbóreos,131654
2000,"33 Cultivos extensivos, Pastizales y matorrales",124487
2000,32 Cultivos Arbóreos,61772
2000,11 Urbano,21736
2000,43 Manglares,10883
2000,42 Bosque de coníferas,10261
2000,12 Otras tierras,4110
2000,44 Otros arbóreo en tierras no agrícola,2730
2000,21 Cuerpos de Agua,1972
2000,22 Humedales,1079
2000,91 Otras,10
2001,41 Bosque latifoliado y mixto,26987
2001,"33 Cultivos extensivos, Pastizales y matorrales",26129
2001,32 Cultivos Arbóreos,20039
2001,31 Cultivos intensivos No-Arbóreos,3988
2001,11 Urbano,2675
2001,44 Otros arbóreo en tierras no agrícola,2041
2001,42 Bosque de coníferas,1859
2001,43 Manglares,1421
2001,22 Humedales,1080
2001,12 Otras tierras,917
2001,21 Cuerpos de Agua,420
2001,91 Otras,9
2002,41 Bosque latifoliado y mixto,12900
2002,"33 Cultivos extensivos, Pastizales y matorrales",3360
2002,42 Bosque de coníferas,1710
2002,22 Humedales,1080
2002,31 Cultivos intensivos No-Arbóreos,1016
2002,43 Manglares,627
2002,44 Otros arbóreo en tierras no agrícola,612
2002,21 Cuerpos de Agua,228
2002,11 Urbano,199
2002,12 Otras tierras,48
2003,41 Bosque latifoliado y mixto,12848
2003,"33 Cultivos extensivos, Pastizales y matorrales",3415
2003,42 Bosque de coníferas,1743
2003,22 Humedales,1079
2003,31 Cultivos intensivos No-Arbóreos,1032
2003,43 Manglares,627
2003,44 Otros arbóreo en tierras no agrícola,620
2003,21 Cuerpos de Agua,231
2003,11 Urbano,199
2003,12 Otras tierras,48
2004,41 Bosque latifoliado y mixto,12744
2004,"33 Cultivos extensivos, Pastizales y matorrales",3443
2004,42 Bosque de coníferas,1719
2004,22 Humedales,1077
2004,31 Cultivos intensivos No-Arbóreos,1046
2004,43 Manglares,629
2004,44 Otros arbóreo en tierras no agrícola,618
2004,21 Cuerpos de Agua,232
2004,11 Urbano,205
2004,12 Otras tierras,49
2005,"33 Cultivos extensivos, Pastizales y matorrales",44468
2005,41 Bosque latifoliado y mixto,43958
2005,44 Otros arbóreo en tierras no agrícola,33672
2005,11 Urbano,7835
2005,42 Bosque de coníferas,4933
2005,31 Cultivos intensivos No-Arbóreos,2750
2005,32 Cultivos Arbóreos,2569
2005,91 Otras,1909
2005,22 Humedales,1840
2005,21 Cuerpos de Agua,883
2005,43 Manglares,728
2005,12 Otras tierras,469
2006,41 Bosque latifoliado y mixto,24305
2006,"33 Cultivos extensivos, Pastizales y matorrales",15165
2006,42 Bosque de coníferas,4928
2006,31 Cultivos intensivos No-Arbóreos,1718
2006,22 Humedales,1649
2006,32 Cultivos Arbóreos,1294
2006,43 Manglares,755
2006,44 Otros arbóreo en tierras no agrícola,610
2006,11 Urbano,561
2006,21 Cuerpos de Agua,548
2006,12 Otras tierras,116
2007,41 Bosque latifoliado y mixto,20383
2007,"33 Cultivos extensivos, Pastizales y matorrales",9463
2007,42 Bosque de coníferas,4897
2007,22 Humedales,1559
2007,31 Cultivos intensivos No-Arbóreos,1371
2007,43 Manglares,727
2007,44 Otros arbóreo en tierras no agrícola,656
2007,32 Cultivos Arbóreos,654
2007,11 Urbano,427
2007,21 Cuerpos de Agua,382
2007,12 Otras tierras,67
2008,41 Bosque latifoliado y mixto,20189
2008,"33 Cultivos extensivos, Pastizales y matorrales",9380
2008,42 Bosque de coníferas,4876
2008,22 Humedales,1554
2008,31 Cultivos intensivos No-Arbóreos,1394
2008,43 Manglares,728
2008,32 Cultivos Arbóreos,663
2008,44 Otros arbóreo en tierras no agrícola,607
2008,11 Urbano,433
2008,21 Cuerpos de Agua,375
2008,12 Otras tierras,67
2009,41 Bosque latifoliado y mixto,20076
2009,"33 Cultivos extensivos, Pastizales y matorrales",9448
2009,42 Bosque de coníferas,4876
2009,22 Humedales,1554
2009,31 Cultivos intensivos No-Arbóreos,1424
2009,43 Manglares,728
2009,32 Cultivos Arbóreos,669
2009,44 Otros arbóreo en tierras no agrícola,608
2009,11 Urbano,439
2009,21 Cuerpos de Agua,375
2009,12 Otras tierras,69
2010,41 Bosque latifoliado y mixto,19976
2010,"33 Cultivos extensivos, Pastizales y matorrales",9494
2010,42 Bosque de coníferas,4870
2010,22 Humedales,1550
