field_name,valor,n
Id,3132132,2
Id,3132128,2
Id,3132127,2
Id,3132126,2
Id,3129974,2
Id,3129973,2
Id,3129972,2
Id,3129971,2
Id,3129970,2
Id,3129969,2
Id,3129968,2
Id,3129967,2
Id,3129966,2
Id,3129965,2
Id,3129964,2
Id,3129963,2
Id,3129962,2
Id,3129961,2
Id,3129960,2
Id,3129959,2
Id,3129958,2
Id,3129957,2
Id,3129956,2
Id,3129955,2
Id,3129954,2
Id,3129953,2
Id,3129952,2
Id,3129951,2
Id,3129350,2
Id,3129349,2
Id,3129348,2
Id,3129347,2
Id,3129346,2
Id,3129345,2
Id,3129344,2
Id,3129343,2
Id,3129342,2
Id,3129341,2
Id,3129340,2
Id,3129339,2
Id,3129338,2
Id,3129337,2
Id,3129336,2
Id,3129335,2
Id,3129334,2
Id,3129333,2
Id,3129332,2
Id,3129331,2
Id,3129329,2
Id,3129328,2
Id,3129327,2
Id,3129326,2
Id,3120025,2
Id,3120024,2
Id,3120023,2
Id,3120022,2
Id,3120021,2
Id,3120020,2
Id,3120019,2
Id,3120018,2
Id,3120017,2
Id,3120016,2
Id,3120015,2
Id,3120014,2
Id,3120013,2
Id,3120012,2
Id,3120011,2
Id,3120010,2
Id,3120009,2
Id,3120008,2
Id,3120007,2
Id,3120006,2
Id,3120005,2
Id,3120004,2
Id,3120003,2
Id,3120002,2
Id,3120001,2
Id,3103160,2
Id,3103155,2
Id,3103123,2
Id,3103122,2
Id,3103121,2
Id,3103119,2
Id,3103118,2
Id,3103117,2
Id,3103116,2
Id,3103114,2
Id,3103113,2
Id,3103112,2
Id,3103111,2
Id,3103109,2
Id,3103108,2
Id,3103107,2
Id,3103106,2
Id,3103105,2
Id,3103104,2
Id,3103103,2
Id,3103102,2
Id,3103101,2
Id,3095975,2
Id,3095974,2
Id,3095973,2
Id,3095972,2
Id,3095971,2
Id,3095970,2
Id,3095969,2
Id,3095968,2
Id,3095967,2
Id,3095966,2
Id,3095965,2
Id,3095964,2
Id,3095963,2
Id,3095962,2
Id,3095960,2
Id,3095959,2
Id,3095958,2
Id,3095955,2
Id,3095954,2
Id,3095953,2
Id,3092799,2
Id,3092798,2
Id,3092797,2
Id,3092796,2
Id,3092791,2
Id,3092790,2
Id,3092789,2
Id,3092788,2
Id,3092787,2
Id,3092786,2
Id,3092785,2
Id,3092784,2
Id,3092783,2
Id,3092782,2
Id,3092781,2
Id,3092780,2
Id,3092779,2
Id,3092778,2
Id,3092777,2
Id,3092776,2
Id,3086100,2
Id,3086099,2
Id,3086098,2
Id,3086097,2
Id,3086096,2
Id,3086095,2
Id,3086094,2
Id,3086093,2
Id,3086092,2
Id,3086091,2
Id,3086090,2
Id,3086089,2
Id,3086088,2
Id,3086087,2
Id,3086086,2
Id,3086085,2
Id,3086084,2
Id,3086083,2
Id,3086082,2
Id,3086081,2
Id,3086078,2
Id,3086077,2
Id,3086076,2
Id,3073200,2
Id,3073195,2
Id,3073194,2
Id,3073193,2
Id,3073192,2
Id,3073191,2
Id,3073190,2
Id,3073189,2
Id,3073188,2
Id,3073187,2
Id,3073186,2
Id,3073185,2
Id,3073184,2
Id,3073183,2
Id,3073182,2
Id,3073181,2
Id,3073179,2
Id,3073178,2
Id,3073177,2
Id,2524248,2
Id,2521740,2
Id,2521739,2
Id,2521735,2
Id,2521734,2
Id,2521733,2
Id,2521732,2
Id,2521730,2
