subset,nivel,pais,clase,n_registros,estado_pais_clase
exacto_2020,Nivel_2,Belice,110 Urbano,0,vacio
exacto_2020,Nivel_2,Belice,111 Urbano continuo,0,vacio
exacto_2020,Nivel_2,Belice,112 Urbano discontinuo,0,vacio
exacto_2020,Nivel_2,Belice,121 Otros artificializado,0,vacio
exacto_2020,Nivel_2,Belice,"122 Suelo desnudo, arena, rocoso, lava, otros",0,vacio
exacto_2020,Nivel_2,Belice,210 Cuerpos de Agua,0,vacio
exacto_2020,Nivel_2,Belice,211 Cuerpos de agua natural,0,vacio
exacto_2020,Nivel_2,Belice,212 Cuerpos de agua artificial,0,vacio
exacto_2020,Nivel_2,Belice,220 Humedales,0,vacio
exacto_2020,Nivel_2,Belice,311 Palma aceitera,6,critico
exacto_2020,Nivel_2,Belice,312 Bananeras,0,vacio
exacto_2020,Nivel_2,Belice,313 Caña de azúcar,0,vacio
exacto_2020,Nivel_2,Belice,314 Piña,0,vacio
exacto_2020,Nivel_2,Belice,315 Otros cultivos intensivos no arbóreos,0,vacio
exacto_2020,Nivel_2,Belice,321 Café,0,vacio
exacto_2020,Nivel_2,Belice,322 Cacao,0,vacio
exacto_2020,Nivel_2,Belice,323 Frutales,0,vacio
exacto_2020,Nivel_2,Belice,324 Hule,0,vacio
exacto_2020,Nivel_2,Belice,325 Otros sistemas agroforestales o silvopastoriles,0,vacio
exacto_2020,Nivel_2,Belice,331 Granos básicos y hortalizas  y otros,0,vacio
exacto_2020,Nivel_2,Belice,332 Pastizales naturales y cultivados,0,vacio
exacto_2020,Nivel_2,Belice,333 Matorrales (barbecho o en descanso),0,vacio
exacto_2020,Nivel_2,Belice,410 Bosque latifoliado y mixto,0,vacio
exacto_2020,Nivel_2,Belice,411 Latifoliado maduro húmedo,0,vacio
exacto_2020,Nivel_2,Belice,412 Latifoliado secundario húmedo,0,vacio
exacto_2020,Nivel_2,Belice,413 Bosque Mixto (Lat-Coniferas),0,vacio
exacto_2020,Nivel_2,Belice,414 Bosque seco o deciduo,0,vacio
exacto_2020,Nivel_2,Belice,420 Bosque de coníferas,0,vacio
exacto_2020,Nivel_2,Belice,421 Coníferas denso,0,vacio
