group_field,grupo,anio,n
Nivel_2,110 Urbano,2000,193
Nivel_2,110 Urbano,2001,195
Nivel_2,110 Urbano,2002,199
Nivel_2,110 Urbano,2003,199
Nivel_2,110 Urbano,2004,205
Nivel_2,110 Urbano,2005,7835
Nivel_2,110 Urbano,2006,418
Nivel_2,110 Urbano,2007,427
Nivel_2,110 Urbano,2008,433
Nivel_2,110 Urbano,2009,439
Nivel_2,110 Urbano,2010,447
Nivel_2,110 Urbano,2011,455
Nivel_2,110 Urbano,2012,3838
Nivel_2,110 Urbano,2013,468
Nivel_2,110 Urbano,2014,477
Nivel_2,110 Urbano,2015,510
Nivel_2,110 Urbano,2016,7360
Nivel_2,110 Urbano,2017,3572
Nivel_2,110 Urbano,2018,947
Nivel_2,110 Urbano,2019,269
Nivel_2,110 Urbano,2020,271
Nivel_2,110 Urbano,2021,366
Nivel_2,110 Urbano,2022,275
Nivel_2,111 Urbano continuo,2000,8104
Nivel_2,111 Urbano continuo,2001,1446
Nivel_2,111 Urbano continuo,2006,65
Nivel_2,111 Urbano continuo,2012,2004
Nivel_2,111 Urbano continuo,2016,76
Nivel_2,111 Urbano continuo,2017,375
Nivel_2,111 Urbano continuo,2018,10971
Nivel_2,111 Urbano continuo,2019,24
Nivel_2,112 Urbano discontinuo,2000,13439
Nivel_2,112 Urbano discontinuo,2001,1034
Nivel_2,112 Urbano discontinuo,2006,78
Nivel_2,112 Urbano discontinuo,2012,1605
Nivel_2,112 Urbano discontinuo,2016,87
Nivel_2,112 Urbano discontinuo,2017,93
Nivel_2,112 Urbano discontinuo,2018,17243
Nivel_2,112 Urbano discontinuo,2019,28
Nivel_2,121 Otros artificializado,2000,2572
Nivel_2,121 Otros artificializado,2001,32
Nivel_2,121 Otros artificializado,2002,33
Nivel_2,121 Otros artificializado,2003,33
Nivel_2,121 Otros artificializado,2004,34
Nivel_2,121 Otros artificializado,2005,36
Nivel_2,121 Otros artificializado,2006,37
Nivel_2,121 Otros artificializado,2007,39
Nivel_2,121 Otros artificializado,2008,40
Nivel_2,121 Otros artificializado,2009,41
Nivel_2,121 Otros artificializado,2010,42
Nivel_2,121 Otros artificializado,2011,43
Nivel_2,121 Otros artificializado,2012,44
Nivel_2,121 Otros artificializado,2013,46
Nivel_2,121 Otros artificializado,2014,46
Nivel_2,121 Otros artificializado,2015,47
Nivel_2,121 Otros artificializado,2016,48
Nivel_2,121 Otros artificializado,2017,50
Nivel_2,121 Otros artificializado,2018,2891
Nivel_2,121 Otros artificializado,2021,10
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2000,1538
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2001,885
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2002,15
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2003,15
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2004,15
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2005,433
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2006,79
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2007,28
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2008,27
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2009,28
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2010,29
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2011,29
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2012,1071
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2013,27
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2014,28
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2015,41
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2016,435
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2017,82
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2018,2141
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2019,13
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2020,8
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2021,12
Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2022,8
Nivel_2,210 Cuerpos de Agua,2000,1939
Nivel_2,210 Cuerpos de Agua,2001,371
Nivel_2,210 Cuerpos de Agua,2002,185
Nivel_2,210 Cuerpos de Agua,2003,186
Nivel_2,210 Cuerpos de Agua,2004,186
Nivel_2,210 Cuerpos de Agua,2005,837
Nivel_2,210 Cuerpos de Agua,2006,339
Nivel_2,210 Cuerpos de Agua,2007,343
Nivel_2,210 Cuerpos de Agua,2008,342
Nivel_2,210 Cuerpos de Agua,2009,342
Nivel_2,210 Cuerpos de Agua,2010,343
Nivel_2,210 Cuerpos de Agua,2011,343
Nivel_2,210 Cuerpos de Agua,2012,867
Nivel_2,210 Cuerpos de Agua,2013,344
Nivel_2,210 Cuerpos de Agua,2014,344
Nivel_2,210 Cuerpos de Agua,2015,361
Nivel_2,210 Cuerpos de Agua,2016,905
Nivel_2,210 Cuerpos de Agua,2017,663
Nivel_2,210 Cuerpos de Agua,2018,2318
Nivel_2,210 Cuerpos de Agua,2019,152
Nivel_2,210 Cuerpos de Agua,2020,165
Nivel_2,210 Cuerpos de Agua,2021,247
Nivel_2,210 Cuerpos de Agua,2022,169
Nivel_2,211 Cuerpos de agua natural,2006,161
Nivel_2,211 Cuerpos de agua natural,2016,154
Nivel_2,211 Cuerpos de agua natural,2017,54
Nivel_2,211 Cuerpos de agua natural,2018,22
Nivel_2,211 Cuerpos de agua natural,2019,15
Nivel_2,212 Cuerpos de agua artificial,2000,33
Nivel_2,212 Cuerpos de agua artificial,2001,49
Nivel_2,212 Cuerpos de agua artificial,2002,43
Nivel_2,212 Cuerpos de agua artificial,2003,45
Nivel_2,212 Cuerpos de agua artificial,2004,46
Nivel_2,212 Cuerpos de agua artificial,2005,46
Nivel_2,212 Cuerpos de agua artificial,2006,48
Nivel_2,212 Cuerpos de agua artificial,2007,39
Nivel_2,212 Cuerpos de agua artificial,2008,33
Nivel_2,212 Cuerpos de agua artificial,2009,33
