group_field,grupo,n_registros,anio_min,anio_max,n_anios_distintos
Pais_es,El Salvador,1215773,2000,2022,22
Pais_es,Costa Rica,478141,2001,2021,9
Pais_es,Honduras,468040,2000,2022,19
Pais_es,Belice,426926,2000,2020,20
Pais_es,Guatemala,240339,2000,2020,21
Pais_es,Panamá,39847,2014,2021,7
Pais_es,México,10085,2000,2020,21
Pais_es,Nicaragua,1972,2005,2022,18
