pais,clase,n_xy,n_registros,n_xy_regional,n_xy_pais_total,pct_clase_en_pais,estado_count,lectura_count,prioridad_count
Costa Rica,331 Granos básicos y hortalizas  y otros,7797,8475,22157,133066,5.859,suficiente,suficiente,-7597
Belice,411 Latifoliado maduro húmedo,9027,9029,11355,33319,27.093,suficiente,suficiente,-8827
El Salvador,430 Manglares,9875,9875,11920,571610,1.728,suficiente,suficiente,-9675
Costa Rica,314 Piña,10375,10375,13453,133066,7.797,suficiente,suficiente,-10175
El Salvador,111 Urbano continuo,10953,10953,10995,571610,1.916,suficiente,suficiente,-10753
Costa Rica,311 Palma aceitera,11850,11861,77460,133066,8.905,suficiente,suficiente,-11650
Guatemala,312 Bananeras,12263,12273,17293,209829,5.844,suficiente,suficiente,-12063
El Salvador,331 Granos básicos y hortalizas  y otros,12834,12834,22157,571610,2.245,suficiente,suficiente,-12634
Panamá,315 Otros cultivos intensivos no arbóreos,12945,12945,116818,29187,44.352,suficiente,suficiente,-12745
Costa Rica,321 Café,15700,15708,218517,133066,11.799,suficiente,suficiente,-15500
El Salvador,112 Urbano discontinuo,17149,17149,17271,571610,3.0,suficiente,suficiente,-16949
Costa Rica,332 Pastizales naturales y cultivados,21378,23329,111572,133066,16.066,suficiente,suficiente,-21178
Guatemala,324 Hule,22488,22488,22488,209829,10.717,suficiente,suficiente,-22288
El Salvador,325 Otros sistemas agroforestales o silvopastoriles,22567,22567,23196,571610,3.948,suficiente,suficiente,-22367
Guatemala,311 Palma aceitera,29397,29423,77460,209829,14.01,suficiente,suficiente,-29197
El Salvador,313 Caña de azúcar,32367,32367,104159,571610,5.662,suficiente,suficiente,-32167
Honduras,311 Palma aceitera,32719,34275,77460,132683,24.66,suficiente,suficiente,-32519
El Salvador,333 Matorrales (barbecho o en descanso),49267,49267,55873,571610,8.619,suficiente,suficiente,-49067
El Salvador,321 Café,50137,50137,218517,571610,8.771,suficiente,suficiente,-49937
Guatemala,313 Caña de azúcar,52194,52195,104159,209829,24.875,suficiente,suficiente,-51994
Costa Rica,410 Bosque latifoliado y mixto,53262,59314,223452,133066,40.027,suficiente,suficiente,-53062
Honduras,321 Café,66598,68185,218517,132683,50.193,suficiente,suficiente,-66398
El Salvador,332 Pastizales naturales y cultivados,83525,83525,111572,571610,14.612,suficiente,suficiente,-83325
Guatemala,321 Café,86075,86113,218517,209829,41.021,suficiente,suficiente,-85875
El Salvador,315 Otros cultivos intensivos no arbóreos,96748,96748,116818,571610,16.926,suficiente,suficiente,-96548
El Salvador,410 Bosque latifoliado y mixto,162889,162969,223452,571610,28.497,suficiente,suficiente,-162689
