subset,pais_grupo,n_grupos_conflicto,n_registros_conflicto,promedio_registros_por_grupo,promedio_anios_por_grupo,max_anios_por_grupo
ventana_2018_2022,Costa Rica,2160,4320,2.0,1.0,1
ventana_2018_2022,Honduras,619,3095,5.0,5.0,5
