field_name,valor,n
Altura,29,957
Altura,30,381
Altura,31,238
Altura,32,160
Altura,33,43
Altura,34,34
Altura,35,7
Altura,36,2
Altura,46,1
Altura,39,1
Altura,37,1
id_cob_niv2,410,511603
id_cob_niv2,332,346197
id_cob_niv2,321,317678
id_cob_niv2,315,246132
id_cob_niv2,411,240046
id_cob_niv2,333,197248
id_cob_niv2,313,135835
id_cob_niv2,331,90730
id_cob_niv2,311,87428
id_cob_niv2,443,83868
id_cob_niv2,420,78256
id_cob_niv2,910,73010
id_cob_niv2,412,67901
id_cob_niv2,325,52389
id_cob_niv2,430,39344
id_cob_niv2,220,34882
id_cob_niv2,112,33607
id_cob_niv2,414,30636
id_cob_niv2,110,29798
id_cob_niv2,423,28933
id_cob_niv2,111,23065
id_cob_niv2,324,22718
id_cob_niv2,312,17402
id_cob_niv2,413,17078
id_cob_niv2,323,13865
id_cob_niv2,314,13466
id_cob_niv2,210,12291
id_cob_niv2,444,9673
id_cob_niv2,122,6987
id_cob_niv2,442,6776
id_cob_niv2,121,6164
id_cob_niv2,421,2593
id_cob_niv2,441,917
id_cob_niv2,212,892
id_cob_niv2,322,620
id_cob_niv2,422,439
id_cob_niv2,211,406
id_cob_niv2,431,194
id_cob_niv2,445,48
id_cob_niv2,432,8
Admin1_id,1,448591
Admin1_id,2,380411
Admin1_id,6,273238
Admin1_id,4,237390
Admin1_id,5,223416
Admin1_id,3,211974
Admin1_id,12,142311
Admin1_id,9,117960
Admin1_id,14,114430
Admin1_id,11,112879
Admin1_id,13,107275
Admin1_id,7,101504
Admin1_id,8,92708
Admin1_id,10,91344
Admin1_id,15,77380
Admin1_id,18,46927
Admin1_id,16,35229
Admin1_id,17,32899
Admin1_id,21,8215
Admin1_id,22,6907
Admin1_id,20,6882
Admin1_id,19,4069
Admin1_id,23,3171
Admin1_id,31,1975
Admin1_id,91,533
Admin1_id,27,334
Admin1_id,30,247
Admin1_id,93,212
Admin1_id,35,121
Admin1_id,40,95
Admin1_id,65,89
Admin1_id,85,87
Admin1_id,80,80
Admin1_id,55,73
Admin1_id,50,59
Admin1_id,25,46
Admin1_id,70,30
Admin1_id,75,21
Admin1_id,60,11
CodigoNiv1,1,448591
CodigoNiv1,2,380411
CodigoNiv1,6,273238
CodigoNiv1,4,237390
CodigoNiv1,5,223416
CodigoNiv1,3,211974
CodigoNiv1,12,142311
CodigoNiv1,9,117960
CodigoNiv1,14,114430
CodigoNiv1,11,112879
CodigoNiv1,13,107275
CodigoNiv1,7,101504
CodigoNiv1,8,92708
CodigoNiv1,10,91344
CodigoNiv1,15,77380
CodigoNiv1,18,46927
CodigoNiv1,16,35229
CodigoNiv1,17,32899
CodigoNiv1,21,8215
CodigoNiv1,22,6907
CodigoNiv1,20,6882
CodigoNiv1,19,4069
CodigoNiv1,23,3171
CodigoNiv1,31,1975
CodigoNiv1,91,533
CodigoNiv1,27,334
CodigoNiv1,30,247
CodigoNiv1,93,212
CodigoNiv1,35,121
CodigoNiv1,40,95
CodigoNiv1,65,89
CodigoNiv1,85,87
CodigoNiv1,80,80
CodigoNiv1,55,73
CodigoNiv1,50,59
CodigoNiv1,25,46
CodigoNiv1,70,30
CodigoNiv1,75,21
CodigoNiv1,60,11
Deforesta,0,2629092
Deforesta,16,19944
Deforesta,17,15353
Deforesta,1,14241
Deforesta,20,13689
Deforesta,11,12624
Deforesta,23,12395
Deforesta,9,12039
Deforesta,19,11781
Deforesta,2,11185
Deforesta,5,11137
Deforesta,14,11041
Deforesta,12,10507
Deforesta,13,10370
Deforesta,18,10316
Deforesta,8,10098
Deforesta,7,9974
Deforesta,15,9073
Deforesta,21,8661
Deforesta,10,8010
Deforesta,3,7893
Deforesta,22,7868
Deforesta,4,7143
Deforesta,6,6689
Año,2018,761746
Año,2000,535974
Año,2012,227254
Año,2020,225478
Año,2021,147522
Año,2005,146014
Año,2016,139840
Año,2017,104646
Año,2001,87565
Año,2006,51649
Año,2015,44354
Año,2019,42637
Año,2014,40616
Año,2007,40586
Año,2013,40266
Año,2011,40266
Año,2010,40266
Año,2009,40266
Año,2008,40266
Año,2003,21842
Año,2002,21780
Año,2004,21762
Año,2022,18528
Nivel_1,41 Bosque latifoliado y mixto ,867264
Nivel_1,"33 Cultivos extensivos, Pastizales y matorrales",634175
Nivel_1,31 Cultivos intensivos No-Arbóreos,500263
Nivel_1,32 Cultivos Arbóreos,407270
Nivel_1,42 Bosque de coníferas,110221
Nivel_1,44 Otros arbóreo en tierras no agrícola,101282
Nivel_1,11 Urbano,86470
Nivel_1,91 Otras,73010
Nivel_1,43 Manglares,39546
Nivel_1,22 Humedales,34882
Nivel_1,21 Cuerpos de Agua,13589
Nivel_1,12 Otras tierras,13151
id_cob_niv1,41,867264
id_cob_niv1,33,634175
id_cob_niv1,31,500263
id_cob_niv1,32,407270
id_cob_niv1,42,110221
id_cob_niv1,44,101282
id_cob_niv1,11,86470
id_cob_niv1,91,73010
id_cob_niv1,43,39546
id_cob_niv1,22,34882
id_cob_niv1,21,13589
id_cob_niv1,12,13151
GBM_Nivel2,,2131439
GBM_Nivel2,Selva Maya,352698
GBM_Nivel2,Trifinio,139309
