subset,nivel,pais,clase,n_registros,pct_pais_subset
exacto_2020,Nivel_2,Belice,311 Palma aceitera,6,100.0
exacto_2020,Nivel_2,El Salvador,312 Bananeras,5,62.5
exacto_2020,Nivel_2,El Salvador,321 Café,2,25.0
exacto_2020,Nivel_2,El Salvador,414 Bosque seco o deciduo,1,12.5
exacto_2020,Nivel_2,Guatemala,321 Café,85958,41.554511
exacto_2020,Nivel_2,Guatemala,313 Caña de azúcar,51753,25.018854
exacto_2020,Nivel_2,Guatemala,311 Palma aceitera,29404,14.214719
exacto_2020,Nivel_2,Guatemala,324 Hule,22488,10.871331
exacto_2020,Nivel_2,Guatemala,312 Bananeras,12263,5.928279
exacto_2020,Nivel_2,Guatemala,315 Otros cultivos intensivos no arbóreos,2363,1.142341
exacto_2020,Nivel_2,Guatemala,314 Piña,2069,1.000213
exacto_2020,Nivel_2,Guatemala,322 Cacao,558,0.269753
exacto_2020,Nivel_2,Honduras,410 Bosque latifoliado y mixto,4474,24.134211
exacto_2020,Nivel_2,Honduras,420 Bosque de coníferas,2986,16.107455
exacto_2020,Nivel_2,Honduras,332 Pastizales naturales y cultivados,2611,14.084583
exacto_2020,Nivel_2,Honduras,333 Matorrales (barbecho o en descanso),2474,13.34556
exacto_2020,Nivel_2,Honduras,414 Bosque seco o deciduo,1666,8.986946
exacto_2020,Nivel_2,Honduras,331 Granos básicos y hortalizas  y otros,1170,6.31136
exacto_2020,Nivel_2,Honduras,413 Bosque Mixto (Lat-Coniferas),868,4.682274
exacto_2020,Nivel_2,Honduras,220 Humedales,474,2.55691
exacto_2020,Nivel_2,Honduras,325 Otros sistemas agroforestales o silvopastoriles,436,2.351926
exacto_2020,Nivel_2,Honduras,321 Café,412,2.222462
exacto_2020,Nivel_2,Honduras,311 Palma aceitera,390,2.103787
exacto_2020,Nivel_2,Honduras,110 Urbano,271,1.461862
exacto_2020,Nivel_2,Honduras,210 Cuerpos de Agua,160,0.863092
exacto_2020,Nivel_2,Honduras,430 Manglares,97,0.52325
exacto_2020,Nivel_2,Honduras,323 Frutales,38,0.204984
exacto_2020,Nivel_2,Honduras,"122 Suelo desnudo, arena, rocoso, lava, otros",8,0.043155
exacto_2020,Nivel_2,Honduras,322 Cacao,3,0.016183
exacto_2020,Nivel_2,México,315 Otros cultivos intensivos no arbóreos,31,49.206349
exacto_2020,Nivel_2,México,311 Palma aceitera,19,30.15873
exacto_2020,Nivel_2,México,321 Café,8,12.698413
exacto_2020,Nivel_2,México,312 Bananeras,5,7.936508
exacto_2020,Nivel_2,Nicaragua,210 Cuerpos de Agua,5,71.428571
exacto_2020,Nivel_2,Nicaragua,430 Manglares,1,14.285714
exacto_2020,Nivel_2,Nicaragua,332 Pastizales naturales y cultivados,1,14.285714
ventana_2018_2022,Nivel_2,Belice,411 Latifoliado maduro húmedo,9028,27.091586
ventana_2018_2022,Nivel_2,Belice,313 Caña de azúcar,7602,22.812387
ventana_2018_2022,Nivel_2,Belice,315 Otros cultivos intensivos no arbóreos,3577,10.734006
ventana_2018_2022,Nivel_2,Belice,333 Matorrales (barbecho o en descanso),2605,7.817189
ventana_2018_2022,Nivel_2,Belice,412 Latifoliado secundario húmedo,2502,7.508102
ventana_2018_2022,Nivel_2,Belice,312 Bananeras,1920,5.761613
ventana_2018_2022,Nivel_2,Belice,423 Sabanas de pino,1461,4.384228
ventana_2018_2022,Nivel_2,Belice,332 Pastizales naturales y cultivados,1364,4.093146
ventana_2018_2022,Nivel_2,Belice,220 Humedales,1072,3.216901
ventana_2018_2022,Nivel_2,Belice,430 Manglares,628,1.884528
ventana_2018_2022,Nivel_2,Belice,444 Regeneración forestal,542,1.626455
ventana_2018_2022,Nivel_2,Belice,110 Urbano,245,0.735206
ventana_2018_2022,Nivel_2,Belice,420 Bosque de coníferas,200,0.600168
ventana_2018_2022,Nivel_2,Belice,210 Cuerpos de Agua,194,0.582163
ventana_2018_2022,Nivel_2,Belice,331 Granos básicos y hortalizas  y otros,148,0.444124
ventana_2018_2022,Nivel_2,Belice,443  Árboles fuera de bosque y otras áreas naturales,107,0.32109
ventana_2018_2022,Nivel_2,Belice,121 Otros artificializado,51,0.153043
ventana_2018_2022,Nivel_2,Belice,212 Cuerpos de agua artificial,41,0.123034
ventana_2018_2022,Nivel_2,Belice,"122 Suelo desnudo, arena, rocoso, lava, otros",21,0.063018
ventana_2018_2022,Nivel_2,Belice,442 Plantaciones forestales,10,0.030008
ventana_2018_2022,Nivel_2,Belice,311 Palma aceitera,6,0.018005
ventana_2018_2022,Nivel_2,Costa Rica,410 Bosque latifoliado y mixto,57948,40.749049
ventana_2018_2022,Nivel_2,Costa Rica,332 Pastizales naturales y cultivados,23578,16.580056
ventana_2018_2022,Nivel_2,Costa Rica,321 Café,15704,11.043057
ventana_2018_2022,Nivel_2,Costa Rica,311 Palma aceitera,11850,8.332923
ventana_2018_2022,Nivel_2,Costa Rica,314 Piña,10375,7.295703
ventana_2018_2022,Nivel_2,Costa Rica,331 Granos básicos y hortalizas  y otros,8566,6.023613
ventana_2018_2022,Nivel_2,Costa Rica,910 Otras,6145,4.321166
ventana_2018_2022,Nivel_2,Costa Rica,220 Humedales,3884,2.73123
ventana_2018_2022,Nivel_2,Costa Rica,443  Árboles fuera de bosque y otras áreas naturales,1282,0.901503
ventana_2018_2022,Nivel_2,Costa Rica,442 Plantaciones forestales,1004,0.706013
