group_field,grupo,anio,n
Fuente,FOREST DEPARTMENT - Cultivos - Mapa Belize,2018,11585
Fuente,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,2012,15601
Fuente,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,2018,15575
Fuente,ICF - Cultivos - Mapa Honduras,2018,106416
Fuente,INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,2014,37
Fuente,INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,2015,17
Fuente,MAG - Inventario Forestal Preliminar Piloto El Salvador,2003,46
Fuente,MAG - Inventario Forestal Preliminar Piloto El Salvador,2004,24
Fuente,MAGA - Cultivos - Mapa Guatemala,2020,206950
Fuente,MARN-MAG/FCPF - Inventario Forestal El Salvador,2018,318
Fuente,MIAMBIENTE - Cultivos Mapa Panamá,2021,24475
Fuente,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,2021,4716
Fuente,MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,2015,36
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Belice",2017,2408
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",2017,7856
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",2017,6221
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",2017,6786
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",2017,12500
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",2017,1490
Fuente,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",2017,10433
Fuente,SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,2016,30
Fuente,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,99803
Fuente,SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,2014,276
