subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_conflicto,n_paises,n_fuentes,n_anios,n_nivel0,n_nivel1,n_nivel2,anio_min,anio_max,paises,fuentes,anios,valores_nivel_0,valores_nivel_1,valores_nivel_2,flag_conflicto_mismo_anio,flag_conflicto_multifuente_mismo_anio,max_fuentes_en_un_anio,max_nivel1_en_un_anio,max_nivel2_en_un_anio,flag_forestal,flag_no_forestal,flag_bosque_vs_no_bosque,flag_agropecuario,flag_residual_otras,flag_agua_humedal,tipo_conflicto,severidad_conflicto,recomendacion_operativa,score_prioridad_revision
ventana_2018_2022,XY_000000836227,-88.04612677999998,15.17029936,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000836237,-88.04612677999998,15.39487818,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000866479,-87.93383737,15.26013089,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,3,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,20 Tierras húmedas y agua","33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros,210 Cuerpos de Agua",0,0,1,1,1,0,1,0,1,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000872140,-87.91137949,15.14784148,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000872156,-87.91137949,15.50716759,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2022,2021,2019,2018",20 Tierras húmedas y agua,"21 Cuerpos de Agua,22 Humedales","210 Cuerpos de Agua,220 Humedales",0,0,1,1,1,0,1,0,0,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000886030,-87.86646373,14.65376807,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000898659,-87.82154796,15.50716759,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000909709,-87.77663219999998,14.56393654,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000909712,-87.77663219999998,14.63131019,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2021,2022,2018,2019",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000909749,-87.77663219999998,15.46225183,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2021,2022,2018,2019",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,323 Frutales",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
