xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021__XYY__007c31e2ceb9,SRC10_CRI_2021__XY__aa1ee802e8ce,-85.661245,10.499241,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__008529d6135a,SRC10_CRI_2021__XY__0bb8922fb983,-85.728436,10.431321,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00878f5e1fbd,SRC10_CRI_2021__XY__aca59f12bdd2,-85.584535,10.362089,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0088608fe485,SRC10_CRI_2021__XY__6d841e3d7637,-85.495957,10.376992,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__008b8c0a8b85,SRC10_CRI_2021__XY__005dc0480585,-85.506408,10.265224,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__008cc1c981ed,SRC10_CRI_2021__XY__94fe7520be67,-85.650196,10.522944,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__008f762c2dc0,SRC10_CRI_2021__XY__c51d30ef8a60,-85.202764,10.437353,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0091b6d34739,SRC10_CRI_2021__XY__e43a276240be,-85.283875,10.131745,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0092099e68b7,SRC10_CRI_2021__XY__f1f3541c6744,-85.299769,10.408013,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0093b1972c5d,SRC10_CRI_2021__XY__4e4685c1a232,-85.495546,10.29012,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__009442aea292,SRC10_CRI_2021__XY__fc421a9cb97b,-85.71359,10.284921,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0095830eb411,SRC10_CRI_2021__XY__44f39cdacb80,-85.496789,10.550734,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00983b734fad,SRC10_CRI_2021__XY__7e21808d6b38,-85.22779,10.357615,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__009bc313990a,SRC10_CRI_2021__XY__59744f419d1c,-85.498558,10.479538,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__009f0fc66df4,SRC10_CRI_2021__XY__eab8db31a6c3,-85.198494,10.425302,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00ad0d692472,SRC10_CRI_2021__XY__d7e15d71537b,-85.409797,10.463051,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00b2bfa11af9,SRC10_CRI_2021__XY__ac09a8fb7f57,-85.38685,10.104566,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00b32712afed,SRC10_CRI_2021__XY__f7ee21e45a10,-85.6901,10.142989,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__00b5f76c2b58,SRC10_CRI_2021__XY__ed65ec123848,-85.419008,10.162562,2021,1,1,1,1,Costa Rica,CRI,0
