pais,n_clases_evaluadas,clases_sin_puntos,clases_baja_cantidad,clases_score_bajo,clases_con_problema,n_xy_total,pct_clases_sin_puntos,pct_clases_con_problema
Nicaragua,36,32,36,2,36,7,88.9,100.0
México,36,23,34,3,34,2149,63.9,94.4
Belice,36,15,23,10,28,33319,41.7,77.8
Costa Rica,36,20,23,7,28,133066,55.6,77.8
Panamá,36,13,27,3,27,29187,36.1,75.0
Guatemala,36,9,25,4,25,209829,25.0,69.4
El Salvador,36,12,17,3,19,571610,33.3,52.8
Honduras,36,12,18,3,18,132683,33.3,50.0
