pais,clase,n_xy,n_registros,n_xy_regional,pct_clase_en_pais,estado_count,lectura_count,score_medio,score_min,estado_score,flag_sin_puntos,flag_baja_cantidad,flag_score_bajo,flag_problema_clase,tipo_problema
Belice,410 Bosque latifoliado y mixto,0,0,223452,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,410 Bosque latifoliado y mixto,0,0,223452,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Belice,321 Café,0,0,218517,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,321 Café,0,0,218517,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,315 Otros cultivos intensivos no arbóreos,0,0,116818,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,315 Otros cultivos intensivos no arbóreos,0,0,116818,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,313 Caña de azúcar,0,0,104159,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,313 Caña de azúcar,0,0,104159,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,313 Caña de azúcar,0,0,104159,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
El Salvador,311 Palma aceitera,0,0,77460,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,311 Palma aceitera,0,0,77460,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,311 Palma aceitera,0,0,77460,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,333 Matorrales (barbecho o en descanso),0,0,55873,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,333 Matorrales (barbecho o en descanso),0,0,55873,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Belice,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,325 Otros sistemas agroforestales o silvopastoriles,0,0,23196,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Belice,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
El Salvador,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Honduras,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Panamá,324 Hule,0,0,22488,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,331 Granos básicos y hortalizas  y otros,0,0,22157,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,331 Granos básicos y hortalizas  y otros,0,0,22157,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,312 Bananeras,0,0,17293,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
El Salvador,312 Bananeras,0,0,17293,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,312 Bananeras,0,0,17293,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Nicaragua,312 Bananeras,0,0,17293,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Belice,112 Urbano discontinuo,0,0,17271,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
Costa Rica,112 Urbano discontinuo,0,0,17271,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
México,112 Urbano discontinuo,0,0,17271,0.0,baja cantidad de puntos critica,baja cantidad de puntos: no hay grupos XY en el pais,,,,True,True,False,True,sin puntos en el país
