statistic,score_temporal,score_espacial,score_tematico,score_espectral,score_confiabilidad,score_representatividad,score_fuente,score_aptitud_raw,score_aptitud_total
count,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0
min,100.0,0.0,48.0,45.0,54.75,85.0,85.0,57.275,57.275
mean,100.0,99.902,99.783,98.73,94.711,99.569,85.0,98.424,98.424
median,100.0,100.0,100.0,100.0,94.75,100.0,85.0,98.725,98.725
max,100.0,100.0,100.0,100.0,94.75,100.0,85.0,98.725,98.725
