xy_group_id,lon,lat,pais_grupo,estado_xy_subset,tipo_grupo_original,n_registros_original,n_registros_subset,n_registros,n_anios,anio_min,anio_max,distancia_minima_2020,incluye_2020,score_temporal,pais_dominante,id_fuente_dominante,fuente_dominante,tipo_fuente_dominante,detalle_tipo_fuente_dominante,nivel_0_dominante,nivel_1_dominante,nivel_2_dominante,valores_nivel_0,valores_nivel_1,valores_nivel_2,n_nivel0,n_nivel1,n_nivel2,conf_integrada_promedio_observada,n_conf_integrada_observada,n_fuentes,ids_fuente_presentes,fuentes_presentes,tipos_fuente_presentes,score_directitud_fuente_promedio,score_trazabilidad_fuente_promedio,score_temporal_metadata_fuente_promedio,score_fuente_promedio,score_fuente_minimo,score_fuente_maximo,n_fuentes_anio_inconsistente,n_fuentes_pais_inconsistente,pct_conf_integrada_observada,flag_confianza_imputada,score_confiabilidad_base,origen_score_confiabilidad,conf_integrada_promedio,incluye_2018_2022,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral,n_registros_pais_clase,estado_pais_clase,tipo_conflicto,severidad_conflicto,score_prioridad_revision,score_espacial,flag_conflicto_activo,score_consistencia_clase,score_viabilidad_clase,flag_clase_residual,score_claridad_semantica,score_nivel_leyenda,score_tematico,score_confiabilidad,score_representatividad,score_fuente,score_aptitud_raw,score_cap,cap_reason,score_aptitud_total,categoria_aptitud_preliminar,categoria_uso_actividad_1_8,definicion_categoria_aptitud,accion_recomendada,razon_categoria_aptitud,id_nivel_0,nivel_0,id_nivel_1,nivel_1,id_nivel_2,nivel_2,Clase,GranClase,nombre_clase,nombre_gran_clase,geometry
SRC10_CRI_2021_A1__XY__8948e9f26985,-85.453796,10.389251,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,39.0,3.25,2.25,-0.2323171143556617,-0.2323174118646458,-0.327545777569948,-0.3174344690108108,-0.363473463816904,-0.3739795613357105,media,45.0,8489,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,30,Tierras de Cultivo y Pastos,31,Cultivos intensivos No-Arbóreos,315,Otros cultivos intensivos no arbóreos,9,9,Cultivos,Cultivos,POINT (-85.45379599051734 10.389251365086222)
SRC10_CRI_2021_A1__XY__896e1fa292a2,-85.495751,10.333556,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,41.0,3.4166666666666665,2.5,0.657039696542853,0.6525841134012844,0.699371950313835,0.698851263537398,0.5028997344379801,0.508276672108114,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2,1,Bosque secundario,Forestal,POINT (-85.49575059360214 10.333555815359558)
SRC10_CRI_2021_A1__XY__89942212705c,-85.633867,10.158815,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,29.0,2.4166666666666665,6.0,0.6545891512066494,0.6738214487435399,0.681475407396464,0.6921215481777734,0.4874056533193174,0.505407478319877,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.63386736924184 10.158814785741962)
SRC10_CRI_2021_A1__XY__899e5a0f34c0,-85.267,10.131811,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,37.0,3.083333333333333,2.25,-0.1460723555370582,-0.1037553953966199,-0.1222993383195427,-0.0320918967763627,-0.1507521077666341,-0.0794250548916014,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.26699986044122 10.131810508465568)
SRC10_CRI_2021_A1__XY__8a498a75b3ea,-85.214552,10.208032,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,39.0,3.25,12.0,0.2026478551925558,0.2107048935798934,0.2496734643154823,0.2526147816078223,0.1538526826338489,0.1577248341564096,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.21455218674762 10.208032250444944)
SRC10_CRI_2021_A1__XY__8b586da77fa3,-85.456294,10.472495,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,39.0,3.25,9.75,0.3237117398523173,0.1487487853466958,0.359356296010172,0.2122481034054711,0.229761041931281,0.1244381660112464,media,45.0,8489,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,30,Tierras de Cultivo y Pastos,31,Cultivos intensivos No-Arbóreos,315,Otros cultivos intensivos no arbóreos,9,9,Cultivos,Cultivos,POINT (-85.45629403448535 10.47249510096987)
SRC10_CRI_2021_A1__XY__8c6fc099cafd,-85.248151,10.166877,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,3.75,0.0205821286327001,0.0617908428233446,0.0854881081184125,0.1178179316030143,-0.1289741872006296,-0.1439833891361647,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.24815102757772 10.166877306595422)
SRC10_CRI_2021_A1__XY__8c83f2b6ac1a,-85.231599,10.25141,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,33.0,2.75,7.0,0.3148264853244772,0.3075165046549196,0.3526357181681854,0.343786962929796,0.2170396470400568,0.2153180822948599,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.23159895357868 10.251410044620734)
SRC10_CRI_2021_A1__XY__8d0321dba7bb,-85.394031,10.239894,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,42.0,3.5,2.75,0.6651744343609965,0.7215728741357756,0.6934480702223539,0.7501943481873161,0.4970763821298707,0.5320438974183206,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2,1,Bosque secundario,Forestal,POINT (-85.39403087590472 10.23989402630195)
SRC10_CRI_2021_A1__XY__8d2c0078eb6b,-85.610114,10.505639,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Artificializado y otra tierras,Urbano,Urbano,Artificializado y otra tierras,Urbano,Urbano,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,39.0,3.25,4.5,0.0341138467400418,0.0299090353221037,0.0373844143465243,0.0404139826550103,-0.0389030281775219,-0.0390006645089296,media,45.0,5928,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,10,Artificializado y otra tierras,11,Urbano,110,Urbano,16,16,Edificaciones,Edificaciones,POINT (-85.61011387789539 10.505639399697507)
