categoria_uso_actividad_1_8,n_xy,pct_xy,score_promedio
entrenamiento,921902,82.91604083284616,93.1552377953405
validación,126710,11.396321446238252,81.7973905137716
apoyo interpretativo,59814,5.379682511130098,69.33898196074497
referencia contextual,2779,0.24994378738139136,57.38383231378194
máscaras,645,0.05801142240410127,40.0
