statistic,score_temporal,score_espacial,score_tematico,score_espectral,score_confiabilidad,score_representatividad,score_fuente,score_aptitud_raw,score_aptitud_total
count,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0,19455.0
min,100.0,0.0,55.5,30.0,70.0,40.0,85.0,55.35,55.35
mean,100.0,99.902,99.805,80.845,86.748,99.48,85.0,94.941,92.396
median,100.0,100.0,100.0,100.0,90.0,100.0,85.0,98.25,98.25
max,100.0,100.0,100.0,100.0,90.0,100.0,85.0,98.25,98.25
