nombre_clase,records,percentage
Cultivos,8489,43.5915
Edificaciones,5928,30.4406
Bosque secundario deciduo,1587,8.1493
Pastos,1179,6.0542
Bosque secundario,903,4.637
Manglar,800,4.108
Humedal Palustre,409,2.1002
Agua,150,0.7703
Bosque maduro,29,0.1489
