statistic,score_temporal,score_espacial,score_tematico,score_espectral,score_confiabilidad,score_representatividad,score_fuente,score_aptitud_raw,score_aptitud_total
count,12551.0,12551.0,12551.0,12551.0,12551.0,12551.0,12551.0,12551.0,12551.0
min,100.0,100.0,75.5,0.0,84.75,40.0,85.0,81.025,60.0
mean,100.0,100.0,98.207,96.319,93.2,98.626,85.0,97.522,94.218
median,100.0,100.0,100.0,100.0,94.75,100.0,85.0,98.725,98.725
max,100.0,100.0,100.0,100.0,94.75,100.0,85.0,98.725,98.725
