audit_country_code,audit_country,audit_year,audit_class_group_code,audit_class_group_name,audit_class_code,audit_class_name,expected_signal_group,n_records,n_extract_id,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_cloudprob_median,s2yr_ndvi_median,s2yr_ndre_median,n_no_spectral_data,n_low_months_obs,n_low_total_obs,n_high_cloudprob,n_class_rule_high,n_class_rule_medium,n_rare_spectral_value,n_context_thematic_conflict,n_spectral_class_review,n_spectral_priority,n_alert_high,n_alert_medium,n_alert_low,n_alert_none,pct_no_spectral_data,pct_low_months_obs,pct_class_rule_high,pct_class_rule_medium,pct_rare_spectral_value,pct_spectral_class_review,pct_spectral_priority,pct_alert_medium_high,class_priority_level
CRI,Costa Rica,2021,11,Humedal Palustre,11,Humedal Palustre,humedal_mixto,409,409,12.0,42.0,2.5,0.6357765839722045,0.4317943374532911,0,0,0,0,0,401,11,1,405,405,1,404,0,4,0.0,0.0,0.0,98.044,2.689,99.022,99.022,99.022,alta_alertas
CRI,Costa Rica,2021,16,Edificaciones,16,Edificaciones,no_vegetacion_esperada,5928,5928,12.0,40.0,5.0,0.5061399489998756,0.37832970863922855,0,0,0,0,3027,2661,25,0,5713,5713,3027,2686,0,215,0.0,0.0,51.063,44.889,0.422,96.373,96.373,96.373,alta_reglas_clase
CRI,Costa Rica,2021,8,Pastos,8,Pastos,vegetacion_herbacea_estacional,1179,1179,12.0,40.0,2.0,0.6097776657429981,0.42125125070361996,0,0,0,0,1,394,27,0,412,412,1,411,0,767,0.0,0.0,0.085,33.418,2.29,34.945,34.945,34.945,alta_alertas
CRI,Costa Rica,2021,1,Forestal,6,Manglar,vegetacion_humeda_mixta,800,800,12.0,42.0,2.25,0.8289034593183116,0.5716625376857032,0,0,0,0,111,21,134,1,135,135,111,24,0,665,0.0,0.0,13.875,2.625,16.75,16.875,16.875,16.875,alta_valores_espectrales_raros
CRI,Costa Rica,2021,1,Forestal,2,Bosque secundario,vegetacion_forestal_esperada,903,903,12.0,39.0,1.0,0.8482318271119844,0.6179268903355033,0,0,0,0,5,1,65,18,80,80,22,58,0,823,0.0,0.0,0.554,0.111,7.198,8.859,8.859,8.859,baja_sin_prioridad
CRI,Costa Rica,2021,1,Forestal,4,Bosque secundario deciduo,vegetacion_forestal_estacional,1587,1587,12.0,40.0,1.0,0.8211504732252559,0.5804601987949185,0,0,0,0,0,0,66,0,66,66,0,66,0,1521,0.0,0.0,0.0,0.0,4.159,4.159,4.159,4.159,baja_sin_prioridad
CRI,Costa Rica,2021,10,Agua,10,Agua,agua_baja_vegetacion,150,150,12.0,42.0,1.0,-0.1022656988758957,-0.08550433689599721,0,0,0,0,0,0,6,0,6,6,0,6,0,144,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,baja_sin_prioridad
CRI,Costa Rica,2021,1,Forestal,1,Bosque maduro,vegetacion_forestal_esperada,29,29,12.0,36.0,1.0,0.8589302106402983,0.6248342912907372,0,0,0,0,0,0,1,0,1,1,0,1,0,28,0.0,0.0,0.0,0.0,3.448,3.448,3.448,3.448,baja_sin_prioridad
CRI,Costa Rica,2021,9,Cultivos,9,Cultivos,vegetacion_agricola_variable,8489,8489,12.0,41.0,3.0,0.6024685466627255,0.42035131567767575,0,0,0,0,0,131,19,18,146,146,18,128,0,8343,0.0,0.0,0.0,1.543,0.224,1.72,1.72,1.72,baja_sin_prioridad
