xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC10_CRI_2021_A1__XY__f4cd5efa9686,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,3.0,0.7147945864034347,0.7633371645320443,0.7269847917110656,0.7663138741903254,0.5121235889193154,0.5339321255578326,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4d1e39a43cb,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,3.75,0.37885260712632807,0.3709079227557635,0.41948696480438147,0.43270870144392126,0.2921419794472348,0.3042620201476296,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4d3ae5e3a4d,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,4.0,0.5170510806122212,0.5469341121503579,0.562312570278909,0.5955139487650039,0.40287596470633075,0.4326571234888733,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4d59f38dddf,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,1.75,0.7320022866569079,0.7286974037925062,0.7672598124522882,0.7600769096235376,0.5128552231620548,0.5172434920051961,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4d86cf6c652,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,2.0,0.5999461094146813,0.6226601300203201,0.6280917916933751,0.6510493199480278,0.4034622447269162,0.40977045642162846,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4db867d64ee,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,3.5,0.3975612897428767,0.32369641839199265,0.44255697042278225,0.3745349478540161,0.26324062169303325,0.2185455910551231,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4df1c1e2dfa,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,2.5833333333333335,6.0,0.3727002986351643,0.3754556500607533,0.4089103359751522,0.4062499385344166,0.3278625591850741,0.3226045135035146,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4df96d84216,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,3.75,0.6178685884753391,0.6817175450977087,0.6437330270016506,0.7062573403554534,0.437887750169386,0.4614626700904976,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4dfcc8a6ae8,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,1.25,0.7079870752025547,0.7306783121984372,0.7344564146810373,0.7540876706233108,0.5120310130618563,0.5236291594311593,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4e0b5795f9e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,3.0,0.5945078674100095,0.7100964005032433,0.6210363683568279,0.7304775971035924,0.4437788333956649,0.5185165177182709,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4e246611337,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.0833333333333335,10.0,0.2510080217838661,0.249009900990099,0.2958519383772966,0.3055619134813458,0.20933373575527991,0.2119047619047619,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4e4e1f66dd3,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38.0,3.1666666666666665,5.0,0.5184551054734511,0.5076112289269301,0.5361336560641998,0.527848701910954,0.3559865609435274,0.3735933695425004,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4e728c67179,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,3.5,4.5,0.7860920274461175,0.7997077068556435,0.7957033292018793,0.8052017138451778,0.5337100972413532,0.5380720462637829,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4e7fd3fa6f9,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,4.25,0.33595965405425265,0.22704776121396095,0.36612506507330944,0.27424880508273397,0.22746747344844553,0.1572969073216049,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4ec017bdcbe,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,4.0,0.44039914467983493,0.28515246633895985,0.4782608266117611,0.34060815158887503,0.30448342907535825,0.18535286109947058,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4ec8fb8c6ae,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.1666666666666665,1.0,0.7899739019072752,0.8687108498052067,0.8104713365682205,0.8830452721175243,0.5984954275162458,0.6559556711694384,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4ed3d362a3c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,1.5,0.8233974890414091,0.8163923606069273,0.8405246553038767,0.833704053236727,0.5588370627141649,0.5560531014936336,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4f0768dfb69,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,3.0,0.5436347153028959,0.6476363849209475,0.5737756998454576,0.6690406654860848,0.4096505565933994,0.4567675350456001,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4f5221abf7a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,3.6666666666666665,3.0,0.8047265798780724,0.8351360256467341,0.8144986794609935,0.843713662924463,0.5838467086700982,0.6065204835754452,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f4fc9acf8607,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,4.0,6.75,0.3750789243350712,0.28131695034530857,0.41592639097542494,0.3350733704329001,0.2706398771992465,0.19523302142286725,sin_alerta,100.0
