id_1_propuesta,nivel_1_propuesta,paises_presentes,registros_regionales,paises_faltantes
11,Bosques latifoliados y mixtos,8,244193,1
12,Bosques de coníferas,6,13442,3
13,Bosques de mangle,7,11920,2
14,Bosques secos,4,1792,5
15,Plantaciones forestales,7,3238,2
21,Cultivos arbóreos,7,348740,2
22,Zonas agrícolas no arbóreas,9,441325,0
23,Construido,7,32219,2
24,Cuerpos de agua,8,2491,1
25,Otras tierras,9,12490,0
