audit_country,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_years,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_rare_spectral_value,n_spectral_class_review,s2yr_months_obs_median,s2yr_ndvi_median,s2yr_ndre_median,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
Nicaragua,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,8,8,1,0,8,0,0,8,1.0,0.8522025002929838,0.6121061353683234,0.0,100.0,0.0,100.0,100.0,alta_alertas
Costa Rica,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,5,5,1,0,5,0,0,5,2.0,0.8063699633553589,0.5765221312542247,0.0,100.0,0.0,100.0,100.0,alta_alertas
México,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,4,4,1,0,4,0,0,4,2.0,0.6946539634612209,0.48731828914826353,0.0,100.0,0.0,100.0,100.0,alta_alertas
Guatemala,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,2,2,1,0,2,0,0,2,2.0,0.8680023374998429,0.6456270891403237,0.0,100.0,0.0,100.0,50.0,alta_alertas
Costa Rica,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,15704,15700,1,82,15515,4,488,15600,2.0,0.7604334208119389,0.5585967609838078,0.522,98.796,3.107,99.338,52.604,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,3577,3577,1,72,3295,1,8,3473,2.0,0.6105519484714698,0.4205025412735312,2.013,92.116,0.224,97.093,82.36,alta_alertas
Belice,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,245,245,1,0,206,0,1,230,3.0,0.5608646188850968,0.3954010095344924,0.0,84.082,0.408,93.878,69.796,alta_alertas
Belice,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,9028,9027,1,223,8197,5,645,8461,2.0,0.8640838361384565,0.6473726032101865,2.47,90.795,7.144,93.72,74.18,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,1364,1363,1,19,1181,1,24,1267,2.0,0.648312331954172,0.4465826144658261,1.393,86.584,1.76,92.889,73.68,alta_alertas
Belice,10,Artificializado y otra tierras,12.0,Otras tierras,121.0,Otros artificializado,51,51,1,0,39,0,0,47,2.0,0.5105234228484139,0.3686087245719609,0.0,76.471,0.0,92.157,70.588,alta_alertas
Belice,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,443.0,Árboles fuera de bosque y otras áreas naturales,107,107,1,1,92,0,3,98,3.0,0.6930376851994346,0.4055352659805476,0.935,85.981,2.804,91.589,77.57,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,148,148,1,2,125,0,4,134,2.0,0.8303628656288402,0.5922980169597251,1.351,84.459,2.703,90.541,73.649,alta_alertas
Belice,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",21,21,1,1,18,0,0,19,3.0,0.3129971078239883,0.21888163566654553,4.762,85.714,0.0,90.476,61.905,alta_alertas
Belice,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,10,10,1,0,9,0,0,9,2.0,0.7187589241662393,0.48838325652841785,0.0,90.0,0.0,90.0,60.0,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),2605,2605,1,41,2213,2,119,2329,2.0,0.8046857712406605,0.5734501936001863,1.574,84.952,4.568,89.405,67.678,alta_alertas
Belice,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,194,194,1,1,169,0,0,170,3.0,0.11808362575697,0.07459033047696134,0.515,87.113,0.0,87.629,51.546,alta_alertas
México,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,6,5,2,2,0,0,0,5,6.0,0.7221219311731535,0.5012825454710077,50.0,0.0,0.0,87.5,50.0,alta_vacios_satelitales
Belice,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,444.0,Regeneración forestal,542,542,1,3,452,0,34,473,2.0,0.8458211020909543,0.6256957795545233,0.554,83.395,6.273,87.269,71.402,alta_alertas
Belice,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,1072,1072,1,14,905,0,84,931,2.0,0.5363933943032185,0.35989204686730747,1.306,84.422,7.836,86.847,50.093,alta_alertas
Belice,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,313.0,Caña de azúcar,7602,7602,1,0,6546,0,150,6576,3.0,0.6475562225291299,0.45706932549660856,0.0,86.109,1.973,86.504,53.604,alta_alertas
Belice,40,Tierras Forestales,42.0,Bosque de coníferas,420.0,Bosque de coníferas,200,200,1,2,170,0,6,173,2.0,0.780188533306408,0.5201866963141215,1.0,85.0,3.0,86.5,63.5,alta_alertas
Belice,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,2502,2500,1,40,2076,0,164,2159,2.5,0.8503624188170873,0.629098065203102,1.599,82.974,6.555,86.291,61.431,alta_alertas
Honduras,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,1050,1050,1,0,854,0,2,906,3.0,0.5417382342837512,0.3734590282813633,0.0,81.333,0.19,86.286,32.667,alta_alertas
Belice,40,Tierras Forestales,42.0,Bosque de coníferas,423.0,Sabanas de pino,1461,1461,1,5,1202,0,23,1246,2.0,0.5496633402416284,0.38108957559516426,0.342,82.272,1.574,85.284,51.951,alta_alertas
Honduras,10,Artificializado y otra tierras,11.0,Urbano,112.0,Urbano discontinuo,39,39,1,0,14,0,0,31,4.0,0.6181310152126669,0.43521759120530246,0.0,35.897,0.0,79.487,12.821,media_revision
El Salvador,10,Artificializado y otra tierras,12.0,Otras tierras,121.0,Otros artificializado,2780,2780,1,0,590,0,231,2168,4.0,0.6108779121747403,0.4303080036707832,0.0,21.223,8.309,77.986,33.453,alta_alertas
Belice,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,628,627,1,1,459,0,28,470,3.0,0.7916950306330837,0.5239248940036342,0.159,73.089,4.459,74.841,24.841,media_revision
Honduras,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,313.0,Caña de azúcar,6375,6375,1,0,4203,0,414,4448,2.0,0.7269727158735467,0.5320596458744397,0.0,65.929,6.494,69.773,8.988,media_revision
Honduras,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,322.0,Cacao,17,17,5,0,4,0,0,13,10.5,0.8051186963615147,0.5952680993587751,0.0,0.0,0.0,66.667,66.667,alta_alertas
El Salvador,10,Artificializado y otra tierras,11.0,Urbano,112.0,Urbano discontinuo,17149,17149,2,0,3822,0,119,11006,8.0,0.5744050189902554,0.4227699475352017,0.0,11.1495,0.347,65.422,14.0605,media_revision
El Salvador,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,212.0,Cuerpos de agua artificial,28,28,1,0,0,0,2,18,4.0,0.6410946683662786,0.40653152166863105,0.0,0.0,7.143,64.286,64.286,alta_alertas
Guatemala,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",164,164,2,0,126,0,6,139,7.5,0.13767184830718637,0.03960602674054231,0.0,39.6225,1.887,63.082,17.2955,media_revision
El Salvador,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,96842,96842,1,0,38240,0,350,60380,4.0,0.48136709745668405,0.3433080190800141,0.0,39.487,0.361,62.349,32.451,alta_alertas
Costa Rica,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,1004,990,2,0,120,0,53,247,7.0,0.8366467804028344,0.599728068869042,0.0,50.0,9.1195,57.1835,57.1835,alta_alertas
Costa Rica,90,Otras,91.0,Otras,910.0,Otras,6145,5841,2,14,447,2,85,1178,6.5,0.6666793375535875,0.4738397634613526,0.3585,50.224000000000004,1.6844999999999999,56.816,56.686,alta_alertas
Guatemala,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,84,84,2,0,63,0,6,66,7.5,0.5586508725145503,0.37244964374693024,0.0,49.219,9.844,56.719,10.625,media_revision
Costa Rica,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,23578,22256,2,15,722,0,605,2746,6.5,0.6870862506786088,0.475036554735655,1.389,49.0385,1.313,54.7875,28.4725,alta_alertas
Guatemala,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,2399,2384,2,0,2,0,17,317,8.0,0.39049914987793777,0.27655450331384457,0.0,2.778,7.198499999999999,54.577999999999996,9.975999999999999,media_revision
Costa Rica,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,8566,8040,2,4,322,0,343,1043,6.5,0.7220340910156217,0.5313640328732138,0.024,50.0425,2.231,54.411500000000004,42.824,alta_alertas
México,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,112,112,2,0,32,0,14,46,7.0,0.7795556246376436,0.5597445878807208,0.0,40.0,13.0555,53.0555,38.0555,alta_alertas
Guatemala,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,314.0,Piña,2070,2070,2,0,0,0,61,123,12.0,0.478630795173536,0.3432032996515636,0.0,0.0,1.474,52.9485,1.474,media_revision
Guatemala,10,Artificializado y otra tierras,11.0,Urbano,112.0,Urbano discontinuo,83,83,2,0,28,0,0,44,8.0,0.5121517970997771,0.37016850639616417,0.0,21.875,0.0,52.8785,11.719,media_revision
Guatemala,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,12,12,2,0,0,0,0,3,8.0,0.6590021424256101,0.43305740977862417,0.0,0.0,0.0,50.0,50.0,alta_alertas
Panamá,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,10,10,2,0,4,0,0,4,4.5,0.811655597584003,0.5879540199750961,0.0,50.0,0.0,50.0,50.0,alta_alertas
Panamá,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,93,93,1,0,0,0,0,46,9.0,0.5456528124954542,0.4161051212938005,0.0,0.0,0.0,49.462,0.0,media_revision
Honduras,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,68207,68207,5,1854,61301,50,3933,64091,11.0,0.7895576530334218,0.569291241949379,0.0,0.0,4.315,48.985,48.469,alta_alertas
Honduras,10,Artificializado y otra tierras,11.0,Urbano,110.0,Urbano,1346,1346,5,1,244,0,4,781,12.0,0.4527169826610596,0.33843499444931574,0.0,0.0,0.366,47.97,23.81,media_revision
El Salvador,10,Artificializado y otra tierras,11.0,Urbano,111.0,Urbano continuo,10953,10953,2,0,2819,0,0,5492,7.5,0.40220293044383093,0.30713866979635585,0.0,12.8805,0.0,45.075500000000005,9.6135,media_revision
El Salvador,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,1829,1829,1,0,498,0,110,822,4.0,0.3127345377516641,0.24254086246611617,0.0,27.228,6.014,44.943,19.847,media_revision
México,40,Tierras Forestales,42.0,Bosque de coníferas,420.0,Bosque de coníferas,44,44,2,0,32,0,6,32,7.0,0.7545063747040377,0.5239310679120581,0.0,44.4445,8.3335,44.4445,23.611,media_revision
El Salvador,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,117,117,1,0,50,0,6,52,4.0,0.7876412336233287,0.5553126366418889,0.0,42.735,5.128,44.444,6.838,media_revision
Honduras,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,34273,34273,5,0,31105,0,2647,32052,12.0,0.8430512742225267,0.6428848390849166,0.0,0.0,10.256,44.103,43.59,alta_alertas
Guatemala,10,Artificializado y otra tierras,11.0,Urbano,111.0,Urbano continuo,42,42,2,0,17,0,1,23,7.5,0.4673116980664229,0.33220879895238,0.0,30.357,1.7855,42.857,12.5,media_revision
México,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),327,325,2,0,117,0,6,123,7.5,0.7701669381693317,0.5324548301007617,0.0,40.909,1.7865,42.6955,14.024,media_revision
México,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,79,79,2,0,27,0,5,31,7.0,0.8269786896646687,0.6086597672951606,0.0,37.5,6.492,42.6035,23.159,media_revision
México,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,1184,1175,2,12,242,1,57,307,7.5,0.81577980674917,0.597300126341719,1.846,37.231,3.9875,42.449,25.372,alta_alertas
