audit_country,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_years,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_rare_spectral_value,n_spectral_class_review,s2yr_months_obs_median,s2yr_ndvi_median,s2yr_ndre_median,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
Guatemala,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,413.0,Bosque Mixto (Lat-Coniferas),4,4,1,0,1,0,0,1,4.0,0.8103116025725419,0.5789982785411136,0.0,25.0,0.0,25.0,0.0,media_revision
Panamá,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",4,4,1,0,0,0,0,1,11.5,0.498481540333114,0.3478378020631998,0.0,0.0,0.0,25.0,0.0,media_revision
El Salvador,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,6453,6453,2,0,771,0,0,3192,7.5,0.6922192278175199,0.5109743437105378,0.0,5.975,0.0,24.7365,19.3895,baja_sin_prioridad
Costa Rica,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,3884,3759,1,0,1,0,620,914,11.0,0.7978606465338253,0.5604127774408387,0.0,0.026,15.963,23.532,23.532,alta_valores_espectrales_raros
El Salvador,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,163070,163070,2,0,60984,0,2153,75512,8.0,0.7958394088131098,0.5700314139251035,0.0,18.6995,0.66,23.154,7.604,baja_sin_prioridad
El Salvador,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,313.0,Caña de azúcar,32367,32367,2,0,3602,0,0,14667,8.0,0.6224158151250181,0.45610237389422675,0.0,5.5655,0.0,22.663,13.2945,baja_sin_prioridad
Honduras,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,5831,5831,5,8,994,0,73,1963,12.0,0.6565018376148523,0.454000477040212,0.0,0.0,0.85,19.898,18.034,baja_sin_prioridad
Guatemala,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,601,601,2,0,194,0,0,222,8.0,0.7810797180072749,0.5702885646425864,0.0,16.6665,0.0,19.072,2.3195,baja_sin_prioridad
Honduras,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),12877,12877,5,90,2627,1,164,4637,12.0,0.7011214887192626,0.4814598743417965,0.0,0.0,1.385,18.904,18.553,baja_sin_prioridad
México,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,36,36,2,0,8,0,4,11,8.0,0.5830859573227066,0.39986590501783825,0.0,12.5,6.25,17.1875,7.8125,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,12945,12945,1,0,0,0,44,2095,10.0,0.4900330565185842,0.3339321805524366,0.0,0.0,0.34,16.184,0.363,baja_sin_prioridad
Honduras,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,905,905,5,12,118,0,0,213,12.0,0.0082132529707155,-0.0650678805347415,0.0,0.0,0.0,15.244,15.244,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,96,96,1,0,0,0,0,14,10.0,0.523026571055589,0.3593451684393583,0.0,0.0,0.0,14.583,0.0,baja_sin_prioridad
El Salvador,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,15,15,1,0,2,0,0,2,4.0,0.8441867380315194,0.608084101533338,0.0,13.333,0.0,13.333,0.0,baja_sin_prioridad
El Salvador,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,50139,50139,3,0,4037,0,3582,8839,11.0,0.8105174714487317,0.6043076458257053,0.0,0.0,7.142,12.5,10.718,baja_sin_prioridad
Honduras,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",126,126,5,0,6,0,16,23,12.0,0.19382728883167125,0.1293675835633895,0.0,0.0,0.0,12.5,0.0,baja_sin_prioridad
Panamá,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,1764,1764,1,12,160,0,85,220,8.0,0.8143104061163977,0.6116458541685383,0.68,9.07,4.819,12.472,9.127,baja_sin_prioridad
Honduras,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,23546,23546,5,476,5078,8,1635,7722,11.0,0.8347951753106239,0.6148117015415258,0.0,0.0,6.943,12.427,12.427,baja_sin_prioridad
Honduras,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,8345,8345,5,9,1464,1,200,2255,12.0,0.7446007298311659,0.5150333721466793,0.0,0.0,2.761,11.527,11.527,baja_sin_prioridad
Costa Rica,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,57948,53262,1,41,1766,0,3968,6596,10.0,0.8420208500400963,0.6160360598700525,0.071,3.048,6.848,11.383,9.916,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,324.0,Hule,22488,22488,1,0,0,0,2092,2092,12.0,0.8279011968917287,0.6053499612929698,0.0,0.0,9.303,9.303,9.303,baja_sin_prioridad
Honduras,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,1597,1597,5,2,23,0,90,123,12.0,0.7873474122228212,0.5257126630263715,0.0,0.0,8.247,9.278,9.278,baja_sin_prioridad
Honduras,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,24,24,1,0,0,0,0,2,4.0,0.8231931714084499,0.5570076028420241,0.0,0.0,0.0,8.333,8.333,baja_sin_prioridad
México,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,144,129,3,0,33,0,6,41,12.0,0.6446247464503042,0.45903745453609557,0.0,0.0,0.0,7.895,7.895,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,313.0,Caña de azúcar,52194,52194,3,0,368,0,2627,2991,12.0,0.6800378164748517,0.4957342697205343,0.0,0.0,5.055,7.576,7.576,baja_sin_prioridad
Panamá,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,53,53,1,0,0,0,4,4,9.0,0.7479045776918117,0.5232266101683556,0.0,0.0,7.547,7.547,7.547,baja_sin_prioridad
Costa Rica,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,314.0,Piña,10375,10375,1,0,0,0,612,765,10.0,0.6784031250693642,0.5156991190422408,0.0,0.0,5.899,7.373,5.899,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,86075,86075,3,0,64,0,6245,6306,12.0,0.8294124978366535,0.6128900333102215,0.0,0.001,6.542,7.258,7.257,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,313.0,Caña de azúcar,5622,5622,1,0,0,0,221,371,9.0,0.6047664207910564,0.44592843783503816,0.0,0.0,3.931,6.599,3.931,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,2042,2042,1,0,0,0,131,131,11.0,0.8070830955987959,0.6182968954870318,0.0,0.0,6.415,6.415,6.415,baja_sin_prioridad
Panamá,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,412.0,Latifoliado secundario húmedo,951,951,1,0,13,0,45,57,9.0,0.8182293420854247,0.5995167158772162,0.0,1.367,4.732,5.994,5.468,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,312.0,Bananeras,12263,12263,1,0,0,0,668,668,12.0,0.7933128695990432,0.5986855531804712,0.0,0.0,5.447,5.447,5.447,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,29409,29403,2,0,0,0,3188,3188,12.0,0.8186835521313314,0.6430501290282351,0.0,0.0,5.421,5.421,5.421,baja_sin_prioridad
Honduras,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,413.0,Bosque Mixto (Lat-Coniferas),4338,4338,5,19,843,0,102,1029,11.0,0.7630513987268461,0.5258755048817834,0.0,0.0,1.959,4.943,4.943,baja_sin_prioridad
Guatemala,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,322.0,Cacao,558,558,1,0,0,0,27,27,12.0,0.786746932998982,0.5723111055003394,0.0,0.0,4.839,4.839,4.839,baja_sin_prioridad
El Salvador,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,9875,9875,1,0,0,0,277,461,4.0,0.8443361054729526,0.5781517769175064,0.0,0.0,2.805,4.668,4.668,baja_sin_prioridad
Panamá,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,109,109,1,0,0,0,5,5,10.0,0.8255736476075459,0.5974053149194393,0.0,0.0,4.587,4.587,4.587,baja_sin_prioridad
Panamá,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,22,22,1,0,0,0,1,1,10.0,0.8649362144736442,0.638537933193029,0.0,0.0,4.545,4.545,4.545,baja_sin_prioridad
México,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,16,16,2,0,0,0,0,1,8.0,0.8649686084602402,0.5842102753662481,0.0,0.0,0.0,4.1665,0.0,baja_sin_prioridad
