audit_country,audit_year,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_sources,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_cloudprob_median,s2yr_ndvi_median,s2yr_ndre_median,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_vegetation_low_ndvi,n_vegetation_low_ndre,n_nonvegetation_high_ndvi,n_rare_spectral_value,n_prior_xy_conflict,n_spectral_class_review,n_alert_high,n_alert_medium,n_alert_low,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
El Salvador,2018,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,22567,22567,2,4.0,11.0,2.0,0.6708376974359678,0.4800327424823726,0,6713,0,584,4,0,94,2485,8878,702,2204,5972,0.0,29.747,0.417,39.341,12.877,media_revision
Guatemala,2018,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,582,582,3,4.0,6.0,1.5,0.7208378911099431,0.5153156806364521,0,194,0,1,0,0,0,27,222,0,27,195,0.0,33.333,0.0,38.144,4.639,media_revision
Honduras,2021,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,439,439,1,11.0,32.0,2.0,0.8159602901870943,0.6037122789978546,0,0,0,1,0,0,41,135,164,12,152,0,0.0,0.0,9.339,37.358,37.358,alta_alertas
Honduras,2021,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,38,38,1,12.0,51.5,3.0,0.7454062269551894,0.5192826575479894,0,0,0,2,0,0,4,11,14,3,11,0,0.0,0.0,10.526,36.842,36.842,alta_alertas
Honduras,2022,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,38,38,1,12.0,45.5,3.25,0.7581882778623771,0.5235133465437243,0,0,0,0,0,0,4,11,14,1,13,0,0.0,0.0,10.526,36.842,36.842,alta_alertas
Honduras,2022,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,439,439,1,11.0,28.0,2.25,0.8142013629431348,0.6002321981424149,0,1,0,1,0,0,42,135,160,18,142,0,0.0,0.228,9.567,36.446,36.446,alta_alertas
Honduras,2019,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,39,39,1,12.0,49.0,3.5,0.6955787607070758,0.49691303961069566,0,0,0,2,0,0,4,12,14,3,11,0,0.0,0.0,10.256,35.897,35.897,alta_alertas
El Salvador,2018,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",1858,1858,2,4.0,12.0,4.5,0.2982892690513218,0.2361434057666737,0,118,0,0,0,224,10,469,661,145,330,186,0.0,6.351,0.538,35.576,25.565,alta_alertas
Honduras,2018,10,Artificializado y otra tierras,12.0,Otras tierras,121.0,Otros artificializado,60,60,1,4.0,10.0,2.25,-0.03024282103594749,-0.1263937976049839,0,0,0,0,0,4,0,21,21,4,17,0,0.0,0.0,0.0,35.0,35.0,alta_alertas
Honduras,2020,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,436,436,1,11.0,30.0,3.0,0.7971906990466535,0.5928831257561493,0,0,0,1,0,0,30,132,151,11,140,0,0.0,0.0,6.881,34.633,34.633,alta_alertas
México,2018,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,32,32,3,4.0,7.0,4.25,0.4927764938091742,0.34566149028701487,0,8,0,0,0,0,4,0,11,1,4,6,0.0,25.0,12.5,34.375,15.625,media_revision
Honduras,2020,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,323.0,Frutales,38,38,1,12.0,46.0,3.375,0.7471328080242333,0.5202901835105864,0,0,0,1,0,0,2,11,13,1,12,0,0.0,0.0,5.263,34.211,34.211,alta_alertas
El Salvador,2018,40,Tierras Forestales,42.0,Bosque de coníferas,420.0,Bosque de coníferas,6060,6060,3,4.0,7.0,1.0,0.7843977054204586,0.540528405176865,0,1758,0,20,0,0,199,265,2037,115,416,1506,0.0,29.01,3.284,33.614,8.762,media_revision
Honduras,2019,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,325.0,Otros sistemas agroforestales o silvopastoriles,430,430,1,11.0,33.0,2.0,0.8014832059381501,0.5896259630434848,0,0,0,1,0,0,26,126,143,9,134,0,0.0,0.0,6.047,33.256,33.256,alta_alertas
El Salvador,2018,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,2249,2249,1,4.0,12.0,1.0,0.6631351512204147,0.4609503003823047,0,443,0,86,0,0,0,295,745,27,320,398,0.0,19.698,0.0,33.126,15.429,media_revision
Honduras,2022,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,2759,2759,1,11.0,27.0,4.25,0.6984346224677717,0.4717823043468695,0,0,0,20,1,0,39,829,865,16,849,0,0.0,0.0,1.414,31.352,31.352,alta_alertas
Honduras,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,2693,2693,1,11.0,31.0,4.75,0.6724934036939313,0.4568398469428517,0,0,0,24,2,0,21,763,785,13,770,2,0.0,0.0,0.78,29.15,29.075,alta_alertas
Honduras,2020,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,2611,2611,1,11.0,32.0,4.75,0.6683284176503571,0.45847095620085554,0,0,0,25,2,0,30,681,708,14,694,0,0.0,0.0,1.149,27.116,27.116,alta_alertas
Guatemala,2018,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,15,15,3,4.0,6.0,20.0,0.1598436762545819,0.13754397871162466,0,1,0,0,0,0,0,3,4,0,4,0,0.0,6.667,0.0,26.667,26.667,alta_alertas
Honduras,2019,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,2532,2532,1,12.0,37.0,5.0,0.6525718377598241,0.44587139921170726,0,0,0,79,1,0,15,602,675,16,599,60,0.0,0.0,0.592,26.659,24.289,media_revision
Honduras,2020,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",8,8,1,12.0,35.5,5.5,0.19382728883167125,0.1293675835633895,0,0,0,0,0,2,0,0,2,0,0,2,0.0,0.0,0.0,25.0,0.0,media_revision
Guatemala,2018,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,413.0,Bosque Mixto (Lat-Coniferas),4,4,1,4.0,6.0,1.5,0.8103116025725419,0.5789982785411136,0,1,0,0,0,0,0,0,1,0,0,1,0.0,25.0,0.0,25.0,0.0,media_revision
Panamá,2021,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",4,4,1,11.5,36.5,4.75,0.498481540333114,0.3478378020631998,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,25.0,0.0,media_revision
Costa Rica,2021,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,3884,3759,1,11.0,35.0,6.0,0.7978606465338253,0.5604127774408387,0,1,0,0,0,0,620,325,914,32,882,0,0.0,0.026,15.963,23.532,23.532,alta_valores_espectrales_raros
Honduras,2019,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,1159,1159,1,12.0,44.0,3.25,0.6211833673394944,0.43349097710799833,0,0,0,85,2,0,4,178,253,6,176,71,0.0,0.0,0.345,21.829,15.703,baja_sin_prioridad
Honduras,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,1176,1176,1,12.0,41.0,3.0,0.6565018376148523,0.4519269541357642,0,0,0,45,2,0,10,195,234,10,194,30,0.0,0.0,0.85,19.898,17.347,baja_sin_prioridad
Honduras,2022,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,1182,1182,1,12.0,39.0,3.25,0.6753004345800437,0.4632040484847082,0,0,0,33,5,0,29,201,228,20,205,3,0.0,0.0,2.453,19.289,19.036,baja_sin_prioridad
Guatemala,2019,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),26,26,2,12.0,51.0,2.25,0.7237124993159133,0.5089972499612931,0,0,0,5,0,0,0,0,5,0,0,5,0.0,0.0,0.0,19.231,0.0,baja_sin_prioridad
Honduras,2018,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",94,94,2,4.0,12.0,5.5,0.12055604010770743,0.07690285249938869,0,6,0,0,0,1,16,3,18,7,11,0,0.0,6.383,17.021,19.149,19.149,alta_valores_espectrales_raros
Honduras,2019,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),2454,2454,1,12.0,40.0,3.0,0.6792094523031256,0.46191763217069637,0,0,0,71,1,0,34,402,467,21,411,35,0.0,0.0,1.385,19.03,17.604,baja_sin_prioridad
Honduras,2022,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),2481,2481,1,11.0,33.0,3.0,0.7257194244604317,0.49377371618486043,0,0,0,22,1,0,44,429,469,24,445,0,0.0,0.0,1.773,18.904,18.904,baja_sin_prioridad
Honduras,2020,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,1170,1170,1,12.0,39.0,3.75,0.6464102272890517,0.454000477040212,0,0,0,33,2,0,25,189,218,17,194,7,0.0,0.0,2.137,18.632,18.034,baja_sin_prioridad
Honduras,2020,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),2474,2474,1,12.0,35.0,3.25,0.7011214887192626,0.48393298455303424,0,0,0,29,1,0,45,422,459,28,431,0,0.0,0.0,1.819,18.553,18.553,baja_sin_prioridad
Honduras,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),2471,2471,1,12.0,36.0,2.5,0.7035017967734536,0.4814598743417965,0,0,0,32,2,0,32,419,449,22,427,0,0.0,0.0,1.295,18.171,18.171,baja_sin_prioridad
El Salvador,2018,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,50113,50113,3,4.0,12.0,1.0,0.8440142058647934,0.6345554148651533,0,4037,0,31,2,0,3579,2284,8836,901,4470,3465,0.0,8.056,7.142,17.632,10.718,baja_sin_prioridad
Panamá,2021,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,12945,12945,1,10.0,27.0,7.0,0.4900330565185842,0.3339321805524366,0,0,0,2061,13,0,44,0,2095,10,37,2048,0.0,0.0,0.34,16.184,0.363,baja_sin_prioridad
Honduras,2021,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,164,164,1,12.0,43.5,3.0,-0.0823987316728025,-0.10968768585238488,0,0,0,0,0,0,0,25,25,0,25,0,0.0,0.0,0.0,15.244,15.244,baja_sin_prioridad
Honduras,2022,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,164,164,1,12.0,40.0,3.5,-0.0449032684156484,-0.07783747755003728,0,0,0,0,0,0,0,25,25,0,25,0,0.0,0.0,0.0,15.244,15.244,baja_sin_prioridad
Guatemala,2019,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,20,20,2,12.0,53.0,7.625,0.5804665587034391,0.392053190840273,0,0,0,0,0,0,3,0,3,0,3,0,0.0,0.0,15.0,15.0,15.0,alta_valores_espectrales_raros
Panamá,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,96,96,1,10.0,27.5,6.125,0.523026571055589,0.3593451684393583,0,0,0,14,0,0,0,0,14,0,0,14,0.0,0.0,0.0,14.583,0.0,baja_sin_prioridad
Costa Rica,2021,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,884,870,1,12.0,37.0,1.75,0.8127317759634068,0.5846546792228555,0,0,0,0,0,0,36,93,127,2,125,0,0.0,0.0,4.072,14.367,14.367,baja_sin_prioridad
Honduras,2019,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,4577,4577,1,11.0,32.0,5.5,0.827900432952684,0.6096644295302014,0,0,0,3,0,0,315,364,634,48,586,0,0.0,0.0,6.882,13.852,13.852,baja_sin_prioridad
Costa Rica,2021,90,Otras,91.0,Otras,910.0,Otras,5751,5447,1,11.0,36.0,5.0,0.5855706707340345,0.41814214050928794,12,55,2,0,0,0,77,666,784,32,737,15,0.209,0.956,1.339,13.632,13.372,baja_sin_prioridad
El Salvador,2018,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,15,15,1,4.0,11.0,1.0,0.8441867380315194,0.608084101533338,0,2,0,0,0,0,0,0,2,0,0,2,0.0,13.333,0.0,13.333,0.0,baja_sin_prioridad
Honduras,2020,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,160,160,1,12.0,42.0,3.75,0.0486213872448168,-0.013929528961052526,0,0,0,0,0,0,0,21,21,0,21,0,0.0,0.0,0.0,13.125,13.125,baja_sin_prioridad
El Salvador,2019,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,321.0,Café,24,24,1,11.0,80.0,1.125,0.8105174714487317,0.6043076458257053,0,0,0,0,0,0,3,0,3,0,3,0,0.0,0.0,12.5,12.5,12.5,baja_sin_prioridad
Honduras,2019,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",8,8,1,12.0,43.5,5.0,0.16563188861905062,0.11344254533181264,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,12.5,0.0,baja_sin_prioridad
Honduras,2021,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",8,8,1,12.0,38.0,3.875,0.195305306224139,0.13572703899983968,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,12.5,0.0,baja_sin_prioridad
Honduras,2022,10,Artificializado y otra tierras,12.0,Otras tierras,122.0,"Suelo desnudo, arena, rocoso, lava, otros",8,8,1,11.5,38.0,3.875,0.20454294984950616,0.13784098865228686,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,12.5,0.0,baja_sin_prioridad
Panamá,2021,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,411.0,Latifoliado maduro húmedo,1764,1764,1,8.0,14.0,10.5,0.8143104061163977,0.6116458541685383,12,160,0,1,1,0,85,0,220,50,111,59,0.68,9.07,4.819,12.472,9.127,baja_sin_prioridad
Honduras,2020,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,4474,4474,1,11.0,26.0,5.0,0.8289723322279102,0.6115787115124249,0,0,0,5,0,0,327,261,556,37,519,0,0.0,0.0,7.309,12.427,12.427,baja_sin_prioridad
Guatemala,2020,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,315.0,Otros cultivos intensivos no arbóreos,2363,2348,1,12.0,68.0,4.5,0.5446393130974807,0.38177347081890345,0,0,0,277,5,0,12,0,282,5,7,270,0.0,0.0,0.508,11.934,0.508,baja_sin_prioridad
Honduras,2021,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,1667,1667,1,12.0,43.0,1.5,0.7476273249863356,0.5150333721466793,0,0,0,7,0,0,52,143,193,8,185,0,0.0,0.0,3.119,11.578,11.578,baja_sin_prioridad
Honduras,2022,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,1657,1657,1,11.0,40.0,1.5,0.7587175600502932,0.5249310673314314,0,0,0,4,0,0,59,133,191,5,186,0,0.0,0.0,3.561,11.527,11.527,baja_sin_prioridad
Costa Rica,2021,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,57948,53262,1,10.0,26.0,2.5,0.8420208500400963,0.6160360598700525,41,1766,0,60,12,0,3968,1351,6596,565,5181,850,0.071,3.048,6.848,11.383,9.916,baja_sin_prioridad
Honduras,2021,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,4395,4395,1,11.0,26.0,5.25,0.8347951753106239,0.6148117015415258,0,0,0,9,1,0,345,182,500,36,464,0,0.0,0.0,7.85,11.377,11.377,baja_sin_prioridad
Honduras,2021,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,97,97,1,12.0,51.0,4.0,0.7873474122228212,0.5274684807269197,0,0,0,10,4,0,9,1,11,5,5,1,0.0,0.0,9.278,11.34,10.309,baja_sin_prioridad
Honduras,2020,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,1666,1666,1,12.0,41.0,2.0,0.7440331380584115,0.5198398398224214,0,0,0,2,0,0,46,142,187,3,184,0,0.0,0.0,2.761,11.224,11.224,baja_sin_prioridad
México,2019,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,72,72,3,12.0,67.5,4.5,0.7801918718813101,0.5512534416283299,0,0,0,0,0,0,8,0,8,0,8,0,0.0,0.0,11.111,11.111,11.111,baja_sin_prioridad
Honduras,2019,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,414.0,Bosque seco o deciduo,1675,1675,1,12.0,44.0,1.5,0.7282267707193988,0.4994457038044771,0,0,0,4,0,0,33,151,182,4,178,0,0.0,0.0,1.97,10.866,10.866,baja_sin_prioridad
Guatemala,2020,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,29404,29398,1,12.0,44.0,6.75,0.8597744002596421,0.6966086041853635,0,0,0,21,1,0,3188,0,3188,21,3167,0,0.0,0.0,10.842,10.842,10.842,baja_sin_prioridad
Guatemala,2019,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,19,19,2,12.0,53.0,3.0,0.6841658510792668,0.47246367262703054,0,0,0,2,0,0,0,0,2,0,0,2,0.0,0.0,0.0,10.526,0.0,baja_sin_prioridad
Honduras,2022,40,Tierras Forestales,41.0,Bosque latifoliado y mixto,410.0,Bosque latifoliado y mixto,4335,4335,1,10.0,22.0,4.75,0.85029540892544,0.6260362591538595,0,18,0,7,3,0,301,122,418,29,378,11,0.0,0.415,6.943,9.642,9.389,baja_sin_prioridad
Costa Rica,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,23038,21716,1,11.0,30.0,4.0,0.733752349916509,0.5067405461869214,0,197,0,130,8,0,605,1490,2206,181,1931,94,0.0,0.855,2.626,9.575,9.167,baja_sin_prioridad
Guatemala,2020,30,Tierras de Cultivo y Pastos,32.0,Cultivos Arbóreos,324.0,Hule,22488,22488,1,12.0,46.0,3.25,0.8279011968917287,0.6053499612929698,0,0,0,46,1,0,2092,0,2092,46,2046,0,0.0,0.0,9.303,9.303,9.303,baja_sin_prioridad
Honduras,2020,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,97,97,1,12.0,48.0,5.0,0.783946304849249,0.5246927515584202,0,0,0,8,5,0,8,1,9,7,2,0,0.0,0.0,8.247,9.278,9.278,baja_sin_prioridad
Honduras,2022,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,97,97,1,12.0,43.0,4.25,0.7915406833598984,0.5257126630263715,0,0,0,8,4,0,8,1,9,7,2,0,0.0,0.0,8.247,9.278,9.278,baja_sin_prioridad
Honduras,2019,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,97,97,1,12.0,52.0,5.0,0.7781156945242078,0.5029225472909694,0,0,0,8,4,0,6,1,9,6,1,2,0.0,0.0,6.186,9.278,7.216,baja_sin_prioridad
Costa Rica,2021,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",331.0,Granos básicos y hortalizas y otros,8251,7725,1,11.0,31.0,4.5,0.7443202193861407,0.5481758608051512,4,7,0,323,13,0,342,395,728,146,582,0,0.048,0.085,4.145,8.823,8.823,baja_sin_prioridad
Honduras,2018,40,Tierras Forestales,44.0,Otros arbóreo en tierras no agrícola,442.0,Plantaciones forestales,24,24,1,4.0,7.0,1.0,0.8231931714084499,0.5570076028420241,0,0,0,0,0,0,0,2,2,0,2,0,0.0,0.0,0.0,8.333,8.333,baja_sin_prioridad
México,2018,40,Tierras Forestales,43.0,Manglares,430.0,Manglares,12,12,2,4.0,8.0,1.25,0.9038128731714736,0.6659632456523087,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,8.333,0.0,baja_sin_prioridad
