nombre_gran_clase,records,percentage
Bosque y vegetación natural,6734,53.6531
Pasto,4564,36.3636
Cultivos,443,3.5296
Urbano e infraestructura,381,3.0356
Agua y acuicultura,367,2.9241
Suelo desnudo y rasgos naturales,62,0.494
