xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC15_PAN_2021__XY__65e2f4ffb01e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,1.6666666666666667,5.75,0.543205097198677,0.5302269171881241,0.5695107721906367,0.5546204293206045,0.41749135109045227,0.4122177465175718,sin_alerta,100.0
SRC15_PAN_2021__XY__65e32d1bf45f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,2.5,5.0,0.8387506773159377,0.8420133668349594,0.8474107817576764,0.8573179676370273,0.5971466531866734,0.5975123481852134,sin_alerta,100.0
SRC15_PAN_2021__XY__65e99c590f19,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,2.0,0.0,-0.6736267312137082,-0.6162247474747475,-0.6708583852282719,-0.6193845177664975,-0.5125704125788312,-0.5244055068836045,sin_alerta,100.0
SRC15_PAN_2021__XY__65f043fd9465,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,2.3333333333333335,5.0,0.7256014792182084,0.7231588691442707,0.7456925183880648,0.748482325188289,0.5087413164959083,0.509049332281762,sin_alerta,100.0
SRC15_PAN_2021__XY__65ff3295e2ae,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,1.8333333333333333,1.0,0.7853212183138804,0.7882659713168186,0.8008701816607636,0.802192448233861,0.5427218593623004,0.549204637368563,sin_alerta,100.0
SRC15_PAN_2021__XY__6604020c7670,1,1,3,4,0.0,0.0,0.0,100.0,0.0,0.0,100.0,6.0,19.0,1.5833333333333333,4.5,0.328986871620064,0.33960987224838485,0.359491114745421,0.3641909396594319,0.23443486520725143,0.23342346828208543,alta,20.0
SRC15_PAN_2021__XY__6606f83b52f5,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,2.1666666666666665,2.0,0.8037358084290985,0.8321067169249503,0.8150618578507022,0.8427157001414427,0.5452732382348396,0.5558277913895695,sin_alerta,100.0
SRC15_PAN_2021__XY__6609b88dabea,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.9166666666666667,4.0,0.6485129736503512,0.7377286884880121,0.6732978998534898,0.759015183171223,0.4312670124577715,0.4804519279456677,sin_alerta,100.0
SRC15_PAN_2021__XY__660b19feed7c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,2.25,3.5,0.5874223157931198,0.6506259778226925,0.6193134719623042,0.6807702569521125,0.3722321979088738,0.40989544060901506,sin_alerta,100.0
SRC15_PAN_2021__XY__660c52eb1bdc,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,5.5,0.749179643523227,0.7785113179896719,0.7737534236001118,0.8050726430172991,0.54185881324036,0.5546753259332207,sin_alerta,100.0
