id_1_propuesta,nivel_1_propuesta,paises_presentes,registros_regionales,paises_faltantes
11,bosques latifoliados y mixtos,8,244193,1
12,bosques de coníferas,6,13442,3
13,bosques de mangle,7,11920,2
14,bosques secos,4,1792,5
15,plantaciones forestales,7,3238,2
21,cultivos arbóreos,7,348740,2
22,zonas agrícolas no arbóreas,9,441325,0
23,construido,7,32219,2
24,cuerpos de agua,8,2491,1
25,otras tierras,9,12490,0
