xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC15_PAN_2021__XYY__00c8c5c4fdf7,SRC15_PAN_2021__XY__d2c22b05cae8,-81.903606,8.379173,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00cbf8793ff6,SRC15_PAN_2021__XY__130bafd61fed,-82.428936,8.619511,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00ce852301bc,SRC15_PAN_2021__XY__e4420db4e8ee,-82.19468,8.529877,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00e077a07f51,SRC15_PAN_2021__XY__85e2c4d1c422,-82.221798,8.486837,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00f47d2c2b78,SRC15_PAN_2021__XY__3390fd9e8a4e,-81.892356,8.42442,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00f76efe7211,SRC15_PAN_2021__XY__f260f60033d9,-82.394232,8.445566,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00fc6211fca7,SRC15_PAN_2021__XY__5b4f5e531d3c,-82.457551,8.377516,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__00fcedcb2dde,SRC15_PAN_2021__XY__44f3a3274abc,-82.133479,8.570757,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01094f59ddcc,SRC15_PAN_2021__XY__24e395c1a71b,-82.01899,8.220621,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__010a906d945c,SRC15_PAN_2021__XY__4e797f1a0d7f,-81.967443,8.48529,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__010a9f5deeb9,SRC15_PAN_2021__XY__7fe6fae28d3e,-82.203309,8.382895,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__010ca33c96e2,SRC15_PAN_2021__XY__42e62ee8b1f1,-82.187355,8.362595,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0119389fe8c4,SRC15_PAN_2021__XY__da2d133b4f8d,-82.090078,8.484966,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0119977009b1,SRC15_PAN_2021__XY__f2baf9b6c259,-82.391456,8.303151,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0121e6f1baa6,SRC15_PAN_2021__XY__2e5f33fcbe82,-82.080674,8.369684,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__012d4f3dea84,SRC15_PAN_2021__XY__44a11e89a48c,-81.98377,8.652563,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01330f6bb3ed,SRC15_PAN_2021__XY__c9a358a2c56a,-81.935719,8.514761,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__013b504e2e5b,SRC15_PAN_2021__XY__33a598b9e80e,-82.017388,8.47838,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__013cf0ff8b59,SRC15_PAN_2021__XY__9823c5c23ed7,-81.96689,8.261449,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__014441715bfc,SRC15_PAN_2021__XY__55fddac16dc1,-82.410489,8.544977,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01488f5ea3c5,SRC15_PAN_2021__XY__c8ee3d8923a0,-81.958556,8.564448,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0150745d2939,SRC15_PAN_2021__XY__043f158b9114,-82.040232,8.528061,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0151c64720e3,SRC15_PAN_2021__XY__5f46d110ed2f,-81.948721,8.25697,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01536210f3f5,SRC15_PAN_2021__XY__b963638c8fc5,-81.938201,8.600674,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__015bcf0bdf6f,SRC15_PAN_2021__XY__fdb8b52e9570,-82.407691,8.400304,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__015c8768e182,SRC15_PAN_2021__XY__1db2f6744a6a,-81.97163,8.342835,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__015e529efc1b,SRC15_PAN_2021__XY__3ad006d33273,-81.957931,8.311213,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0163b0d55b17,SRC15_PAN_2021__XY__908a6eeffd1c,-82.369602,8.542863,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0164f31cad5a,SRC15_PAN_2021__XY__a89dcf0d8571,-82.496646,8.508484,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01663516f0a4,SRC15_PAN_2021__XY__b841d5142a59,-82.469561,8.551539,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0166dfba456a,SRC15_PAN_2021__XY__b5c8884c19e5,-82.407986,8.481687,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0166eb3a03e5,SRC15_PAN_2021__XY__b2dd95970a18,-81.98978,8.338268,2021,1,1,1,1,Panamá,PAN,0
