country,year_ref,extract_units
Belice,2018,33313
Belice,2020,6
Costa Rica,2018,20222
Costa Rica,2019,22219
Costa Rica,2021,90625
El Salvador,2018,571498
El Salvador,2019,112
Guatemala,2018,2628
Guatemala,2019,372
Guatemala,2020,206829
Honduras,2018,132683
Honduras,2019,18520
Honduras,2020,18520
Honduras,2021,18520
Honduras,2022,18520
México,2018,758
México,2019,1390
México,2020,1
Nicaragua,2018,5
Nicaragua,2019,4
Nicaragua,2020,4
Nicaragua,2021,6
Nicaragua,2022,4
Panamá,2021,29187
