Pais_es,records,percentage
El Salvador,572140,47.8414
Guatemala,209938,17.5547
Honduras,206795,17.2918
Costa Rica,142207,11.8911
Belice,33324,2.7865
Panamá,29215,2.4429
México,2223,0.1859
Nicaragua,69,0.0058
