Nivel_1,records,percentage
31 Cultivos intensivos No-Arbóreos,330929,27.6717
41 Bosque latifoliado y mixto ,275131,23.006
32 Cultivos Arbóreos,274812,22.9793
"33 Cultivos extensivos, Pastizales y matorrales",217746,18.2075
11 Urbano,30394,2.5415
42 Bosque de coníferas,25445,2.1277
43 Manglares,12314,1.0297
22 Humedales,7471,0.6247
44 Otros arbóreo en tierras no agrícola,7277,0.6085
91 Otras,6152,0.5144
12 Otras tierras,5083,0.425
21 Cuerpos de Agua,3157,0.264
