source_csv,path,size_mb,selected_for_processing,n_columns_header,has_extract_id,has_month
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_012.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2018_batch_012.csv,117.784,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_El_Salvador_2019_batch_001.csv,0.706,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2018_batch_001.csv,14.674,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2019_batch_001.csv,2.314,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_001.csv,283.27,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_002.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_002.csv,288.649,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_003.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_003.csv,287.015,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_004.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_004.csv,284.925,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_005.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Guatemala_2020_batch_005.csv,39.269,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_001.csv,246.075,True,49,True,True
