GranClase,nombre_gran_clase,Clase,nombre_clase,records,percentage,representativity_state
3,Pasto,26,Pasto,4564,36.364,suficiente
1,Bosque y vegetación natural,2,Bosque latifoliado mixto secundario,2893,23.05,suficiente
1,Bosque y vegetación natural,9,Rastrojo y vegetación arbustiva,1571,12.517,suficiente
1,Bosque y vegetación natural,3,Bosque de mangle,1122,8.94,suficiente
1,Bosque y vegetación natural,1,Bosque latifoliado mixto maduro,787,6.27,suficiente
4,Agua y acuicultura,27,Superficie de agua,366,2.916,moderado
6,Urbano e infraestructura,28,Área poblada,279,2.223,moderado
1,Bosque y vegetación natural,8,Bosque plantado de latifoliadas,206,1.641,moderado
1,Bosque y vegetación natural,10,Vegetación herbácea,145,1.155,moderado
2,Cultivos,16,Palma aceitera,143,1.139,moderado
2,Cultivos,19,Arroz,115,0.916,moderado
6,Urbano e infraestructura,29,Infraestructura,102,0.813,moderado
2,Cultivos,20,Caña de azúcar,79,0.629,bajo
2,Cultivos,24,Otro cultivo anual,52,0.414,bajo
5,Suelo desnudo y rasgos naturales,13,Playa y arenal natural,42,0.335,bajo
2,Cultivos,23,Piña,24,0.191,critico
2,Cultivos,18,Otro cultivo permanente,24,0.191,critico
5,Suelo desnudo y rasgos naturales,12,Afloramiento rocoso y tierra desnuda,20,0.159,critico
1,Bosque y vegetación natural,11,Vegetación baja inundable,6,0.048,critico
2,Cultivos,15,Cítrico,5,0.04,critico
1,Bosque y vegetación natural,7,Bosque plantado de coníferas,4,0.032,critico
4,Agua y acuicultura,31,Estanque para acuicultura,1,0.008,critico
2,Cultivos,25,Área heterogénea de producción agropecuaria,1,0.008,critico
