distance_m,raster_value,class_value,class_name,class_name_en,stratum_id,n_points,n_protected,class_area_ha
1000,12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,12 | Afloramiento rocoso y tierra desnuda,7,1,494.09000000000003
1000,13,13,Playa y arenal natural,Sand Beaches,13 | Playa y arenal natural,21,1,838.4200000000001
1000,15,15,Cítrico,Citrus,15 | Cítrico,3,1,119.56
1000,16,16,Palma aceitera,Oil Palm,16 | Palma aceitera,36,1,3721.1800000000003
1000,18,18,Otro cultivo permanente,Permanent Crops,18 | Otro cultivo permanente,3,1,541.57
1000,19,19,Arroz,Rice,19 | Arroz,27,1,2744.92
1000,20,20,Caña de azúcar,Sugar Cane,20 | Caña de azúcar,22,1,1839.57
1000,23,23,Piña,Pineapple,23 | Piña,6,1,575.6
1000,24,24,Otro cultivo anual,Other Annual Crops,24 | Otro cultivo anual,15,1,1368.8500000000001
1000,25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,25 | Área heterogénea de producción agropecuaria,1,1,11.25
1000,26,26,Pasto,Pasture,26 | Pasto,1080,1,116298.08
1000,27,27,Superficie de agua,Water Bodies,27 | Superficie de agua,105,1,9100.77
1000,28,28,Área poblada,Urban Areas,28 | Área poblada,72,1,6580.89
1000,29,29,Infraestructura,Infrastructure,29 | Infraestructura,27,1,2810.73
1000,31,31,Estanque para acuicultura,Aquaculture Ponds,31 | Estanque para acuicultura,1,1,5.8
2000,1,1,Bosque latifoliado mixto maduro,Mature Broadleaf Forest,1 | Bosque latifoliado mixto maduro,54,1,20102.95
2000,2,2,Bosque latifoliado mixto secundario,Secondary Mixed Broadleaf Forest,2 | Bosque latifoliado mixto secundario,202,1,73495.42
2000,3,3,Bosque de mangle,Mangrove Forest,3 | Bosque de mangle,88,10,27792.84
2000,7,7,Bosque plantado de coníferas,Coniferous Forest,7 | Bosque plantado de coníferas,1,1,102.85000000000001
2000,8,8,Bosque plantado de latifoliadas,Broadleaf Forest,8 | Bosque plantado de latifoliadas,13,1,5579.09
2000,9,9,Rastrojo y vegetación arbustiva,Shrubs and Bushes,9 | Rastrojo y vegetación arbustiva,94,1,39050.94
2000,10,10,Vegetación herbácea,Herbaceous Vegetation,10 | Vegetación herbácea,9,1,3847.41
2000,11,11,Vegetación baja inundable,Flooded Vegetation,11 | Vegetación baja inundable,2,1,110.62
