distance_m,class_field,class_value_text,n_selected,n_protected,n_selected_protected,n_candidates,class_area_ha,missing_after_selection
2000,stratum_id,12 | Afloramiento rocoso y tierra desnuda,6,1,1,82,494.09000000000003,0
2000,stratum_id,13 | Playa y arenal natural,6,1,1,145,838.4200000000001,0
2000,stratum_id,15 | Cítrico,2,1,1,19,119.56,0
2000,stratum_id,16 | Palma aceitera,12,1,1,596,3721.1800000000003,0
2000,stratum_id,18 | Otro cultivo permanente,2,1,1,90,541.57,0
2000,stratum_id,19 | Arroz,7,1,1,451,2744.92,0
2000,stratum_id,2 | Bosque latifoliado mixto secundario,202,1,1,11744,73495.42,0
2000,stratum_id,20 | Caña de azúcar,8,1,1,291,1839.57,0
2000,stratum_id,23 | Piña,2,1,1,91,575.6,0
2000,stratum_id,24 | Otro cultivo anual,3,1,1,225,1368.8500000000001,0
2000,stratum_id,25 | Área heterogénea de producción agropecuaria,1,1,1,4,11.25,0
2000,stratum_id,26 | Pasto,291,1,1,18545,116298.08,0
2000,stratum_id,27 | Superficie de agua,20,1,1,1413,9100.77,0
2000,stratum_id,28 | Área poblada,22,1,1,1057,6580.89,0
2000,stratum_id,29 | Infraestructura,5,1,1,454,2810.73,0
2000,stratum_id,3 | Bosque de mangle,88,10,10,4467,27792.84,0
2000,stratum_id,31 | Estanque para acuicultura,1,1,1,1,5.8,0
2000,stratum_id,7 | Bosque plantado de coníferas,1,1,1,19,102.85000000000001,0
2000,stratum_id,8 | Bosque plantado de latifoliadas,13,1,1,886,5579.09,0
2000,stratum_id,9 | Rastrojo y vegetación arbustiva,94,1,1,6301,39050.94,0
3000,stratum_id,1 | Bosque latifoliado mixto maduro,22,1,1,3195,20102.95,0
3000,stratum_id,10 | Vegetación herbácea,4,1,1,597,3847.41,0
3000,stratum_id,11 | Vegetación baja inundable,1,1,1,18,110.62,0
3000,stratum_id,12 | Afloramiento rocoso y tierra desnuda,3,1,1,82,494.09000000000003,0
3000,stratum_id,13 | Playa y arenal natural,6,1,1,145,838.4200000000001,0
3000,stratum_id,15 | Cítrico,1,1,1,19,119.56,0
3000,stratum_id,16 | Palma aceitera,3,1,1,596,3721.1800000000003,0
3000,stratum_id,18 | Otro cultivo permanente,3,1,1,90,541.57,0
3000,stratum_id,19 | Arroz,5,1,1,451,2744.92,0
3000,stratum_id,2 | Bosque latifoliado mixto secundario,85,1,1,11744,73495.42,0
3000,stratum_id,20 | Caña de azúcar,3,1,1,291,1839.57,0
3000,stratum_id,23 | Piña,1,1,1,91,575.6,0
3000,stratum_id,24 | Otro cultivo anual,2,1,1,225,1368.8500000000001,0
3000,stratum_id,25 | Área heterogénea de producción agropecuaria,1,1,1,4,11.25,0
3000,stratum_id,26 | Pasto,130,1,1,18545,116298.08,0
3000,stratum_id,27 | Superficie de agua,12,1,1,1413,9100.77,0
3000,stratum_id,28 | Área poblada,9,1,1,1057,6580.89,0
3000,stratum_id,29 | Infraestructura,2,1,1,454,2810.73,0
3000,stratum_id,3 | Bosque de mangle,45,10,10,4467,27792.84,0
3000,stratum_id,31 | Estanque para acuicultura,1,1,1,1,5.8,0
3000,stratum_id,7 | Bosque plantado de coníferas,1,1,1,19,102.85000000000001,0
3000,stratum_id,8 | Bosque plantado de latifoliadas,3,1,1,886,5579.09,0
3000,stratum_id,9 | Rastrojo y vegetación arbustiva,48,1,1,6301,39050.94,0
